"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,27,144,171,,1,,3,4,,12,25,37,,2,13,15,,1,1,7,33,40,,1,,1,,49,,220,,269,
,,24,118,142,,1,,2,3,,7,17,24,,,11,11,,1,1,7,28,35,,1,,1,,39,,178,,217,
,,3,18,21,,,,,,,5,3,8,,1,2,3,,,,,3,3,,,,,,9,,26,,35,
,,,4,4,,,,,,,,5,5,,1,,1,,,,,2,2,,,,,,1,,11,,12,
,,,3,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4,,4,
,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,2,5,7,,,,1,1,,,,,,,1,1,,,,1,5,6,,,,,,3,,12,,15,
,,19,76,95,,,,1,1,,5,11,16,,,11,11,,,,3,15,18,,1,,1,,27,,115,,142,
,,6,54,60,,1,,1,2,,4,14,18,,1,1,2,,1,1,3,13,16,,,,,,15,,84,,99,
,,,9,9,,,,,,,3,,3,,1,,1,,,,,,,,,,,,4,,9,,13,
,,24,134,158,,1,,1,2,,11,24,35,,2,8,10,,,,1,3,4,,1,,1,,39,,171,,210,
,,3,5,8,,,,1,1,,1,1,2,,,4,4,,1,1,6,26,32,,,,,,10,,38,,48,
,,,5,5,,,,1,1,,,,,,,1,1,,,,,4,4,,,,,,,,11,,11,
,,25,138,163,,1,,2,3,,12,25,37,,2,11,13,,,,,,,,1,,1,,40,,177,,217,
,,2,6,8,,,,1,1,,,,,,,2,2,,1,1,,,,,,,,,2,,10,,12,
,,,,,,,,,,,,,,,,,,,,,7,33,40,,,,,,7,,33,,40,
,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,5,5,,,,,,,,2,2,,,1,1,,,,,1,1,,,,,,,,9,,9,
,,1,10,11,,,,,,,1,,1,,,1,1,,,,2,4,6,,,,,,4,,15,,19,
,,15,90,105,,1,,2,3,,10,18,28,,1,7,8,,,,3,16,19,,1,,1,,30,,134,,164,
,,11,37,48,,,,1,1,,1,4,5,,1,4,5,,1,1,2,12,14,,,,,,15,,59,,74,
,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,
,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,5,5,,,,,,,,2,2,,,1,1,,,,,1,1,,,,,,,,9,,9,
,,1,10,11,,,,,,,1,,1,,,1,1,,,,2,4,6,,,,,,4,,15,,19,
,,26,127,153,,1,,3,4,,11,23,34,,2,11,13,,1,1,5,28,33,,1,,1,,45,,194,,239,
,,23,130,153,,1,,3,4,,11,24,35,,2,12,14,,1,1,7,32,39,,1,,1,,44,,203,,247,
,,4,14,18,,,,,,,1,1,2,,,1,1,,,,,1,1,,,,,,5,,17,,22,
,,18,98,116,,1,,1,2,,5,13,18,,,7,7,,,,,4,4,,,,,,24,,123,,147,
,,,2,2,,,,1,1,,1,1,2,,1,,1,,,,7,28,35,,1,,1,,9,,33,,42,
,,9,44,53,,,,1,1,,6,11,17,,1,6,7,,1,1,,1,1,,,,,,16,,64,,80,
,,26,132,158,,,,2,2,,10,24,34,,2,11,13,,1,1,3,26,29,,1,,1,,41,,197,,238,
,,1,12,13,,1,,1,2,,2,1,3,,,2,2,,,,4,7,11,,,,,,8,,23,,31,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
