Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,393",5.3%,360,7.1%,83,-19.4%,,,"1,836",4.2%,
Gender,Female,420,6.3%,133,9.9%,29,-17.1%,,,582,5.6%,
,Male,973,4.8%,227,5.6%,54,-20.6%,,,"1,254",3.6%,
Ethnicity,White,"1,141",3.4%,170,-2.9%,22,-8.3%,,,"1,333",2.4%,
,Black,18,5.9%,12,33.3%,1,0.0%,,,31,14.8%,
,Hispanic,168,13.5%,23,0.0%,3,0.0%,,,194,11.5%,
,Asian,42,16.7%,14,-17.6%,3,200.0%,,,59,9.3%,
,American Indian,6,0.0%,1,100.0%,1,100.0%,,,8,33.3%,
,International,10,25.0%,135,27.4%,52,-27.8%,,,197,5.9%,
,Unknown/Other,8,60.0%,5,-16.7%,1,-50.0%,,,14,7.7%,
TAMU Age,<18,1,-50.0%,,,,,,,1,-50.0%,
Categories,18-21,874,9.0%,2,100.0%,,,,,876,9.2%,
,22-25,455,-2.2%,179,22.6%,1,-50.0%,,,635,3.6%,
,26-30,40,14.3%,121,-6.9%,21,-32.3%,,,182,-7.1%,
,31-39,18,38.5%,49,2.1%,45,-6.3%,,,112,2.8%,
,40+,5,-16.7%,9,-25.0%,16,-27.3%,,,30,-25.0%,
Enrollment,1st Time in College,187,14.0%,,,,,,,187,14.0%,
Status,1st Time PB,0,-100.0%,5,66.7%,,,,,5,25.0%,
,1st Time Graduate,,,139,26.4%,6,-25.0%,,,145,22.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,78,8.3%,,,,,,,78,8.3%,
,Readmitted,14,16.7%,2,100.0%,1,100.0%,,,17,41.7%,
,Continuing,"1,114",3.7%,214,-4.0%,76,-20.0%,,,"1,404",0.9%,
Tuition,Resident Tuition,"1,329",4.7%,179,-3.8%,26,0.0%,,,"1,534",3.6%,
Status,Non-Resident Tuition,28,21.7%,40,73.9%,13,-27.8%,,,81,26.6%,
,Tuition  Exemption/Waiver,36,16.1%,141,11.0%,44,-25.4%,,,221,1.8%,
Residency,Texas Resident,"1,344",4.8%,182,-4.2%,27,0.0%,,,"1,553",3.6%,
Status,"Non-TX, US Resident",38,15.2%,41,2.5%,4,0.0%,,,83,7.8%,
,"Non-TX, Non-US Resident",11,37.5%,137,29.2%,52,-27.8%,,,200,7.5%,
SCH,< 6 SCH,12,9.1%,36,5.9%,20,-25.9%,,,68,-5.6%,
Categories,6-8 SCH,110,14.6%,12,-33.3%,1,0.0%,,,123,7.0%,
,9-11 SCH,72,18.0%,122,20.8%,59,-19.2%,,,253,7.7%,
,12-14 SCH,751,12.6%,148,1.4%,3,50.0%,,,902,10.7%,
,15-17 SCH,396,-11.8%,42,13.5%,,,,,438,-9.9%,
,>17 SCH,52,33.3%,,,,,,,52,33.3%,
Ft/Pt:,Less Than Half Time,11,0.0%,29,7.4%,18,-10.0%,,,58,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","37
60","-11.9%
-1.6%",13,-45.8%,2,-71.4%,,,"52
60","-28.8%
-1.6%",
,Full-Time,"1,285",6.3%,318,11.6%,63,-17.1%,,,"1,666",6.1%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
