Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2006,,,,,,,,,,,,
Office of Institutional Studies and Planning Official Certified 12th Class Day Data,,,,,,,,,,,,
Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,033",-2.1%,"1,229",1.7%,621,3.5%,330,-1.8%,"16,213",-1.6%,
,Black,582,12.6%,78,-7.1%,106,15.2%,1,100.0%,767,10.7%,
,Hispanic,"2,147",10.3%,159,3.2%,136,16.2%,26,18.2%,"2,468",10.2%,
,Asian,649,10.6%,65,20.4%,36,5.9%,13,8.3%,763,11.1%,
,American Indian,94,17.5%,4,-42.9%,10,100.0%,1,0.0%,109,17.2%,
,International,153,-0.6%,446,13.8%,454,4.6%,,,"1,053",7.4%,
,Unknown/Other,49,8.9%,12,-52.0%,16,0.0%,6,-25.0%,83,-11.7%,
,Subtotal,"17,707",0.2%,"1,993",3.6%,"1,379",6.2%,377,-0.5%,"21,456",0.9%,
Male,White,"14,913",1.5%,"1,456",-1.1%,687,3.2%,117,-0.8%,"17,173",1.3%,
,Black,463,4.5%,75,4.2%,48,14.3%,2,-33.3%,588,5.0%,
,Hispanic,"2,188",7.4%,181,8.4%,96,6.7%,8,0.0%,"2,473",7.4%,
,Asian,800,14.1%,88,11.4%,47,17.5%,4,0.0%,939,14.0%,
,American Indian,105,4.0%,7,75.0%,7,16.7%,,,119,7.2%,
,International,336,-6.4%,"1,005",10.7%,"1,160",0.2%,0,-100.0%,"2,501",3.1%,
,Unknown/Other,68,4.6%,34,-20.9%,28,-3.4%,1,0.0%,131,-5.1%,
,Subtotal,"18,873",2.6%,"2,846",3.7%,"2,073",2.1%,132,-2.2%,"23,924",2.6%,
Grand Total,,"36,580",1.4%,"4,839",3.6%,"3,452",3.7%,509,-1.0%,"45,380",1.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
