Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,617",-5.5%,,,,,,,"3,617",-5.5%,
Gender,Female,"1,671",-2.5%,,,,,,,"1,671",-2.5%,
,Male,"1,946",-7.9%,,,,,,,"1,946",-7.9%,
Ethnicity,White,"2,783",-6.8%,,,,,,,"2,783",-6.8%,
,Black,148,16.5%,,,,,,,148,16.5%,
,Hispanic,498,-8.3%,,,,,,,498,-8.3%,
,Asian,135,3.1%,,,,,,,135,3.1%,
,American Indian,29,52.6%,,,,,,,29,52.6%,
,International,17,0.0%,,,,,,,17,0.0%,
,Unknown/Other,7,40.0%,,,,,,,7,40.0%,
TAMU Age,<18,17,70.0%,,,,,,,17,70.0%,
Categories,18-21,"3,531",-5.7%,,,,,,,"3,531",-5.7%,
,22-25,59,0.0%,,,,,,,59,0.0%,
,26-30,7,0.0%,,,,,,,7,0.0%,
,31-39,1,-80.0%,,,,,,,1,-80.0%,
,40+,2,100.0%,,,,,,,2,100.0%,
Enrollment,1st Time in College,"1,493",-0.6%,,,,,,,"1,493",-0.6%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,82,-25.5%,,,,,,,82,-25.5%,
,Readmitted,63,-1.6%,,,,,,,63,-1.6%,
,Continuing,"1,979",-8.0%,,,,,,,"1,979",-8.0%,
Tuition,Resident Tuition,"3,456",-5.8%,,,,,,,"3,456",-5.8%,
Status,Non-Resident Tuition,79,0.0%,,,,,,,79,0.0%,
,Tuition  Exemption/Waiver,82,2.5%,,,,,,,82,2.5%,
Residency,Texas Resident,"3,481",-6.0%,,,,,,,"3,481",-6.0%,
Status,"Non-TX, US Resident",117,12.5%,,,,,,,117,12.5%,
,"Non-TX, Non-US Resident",19,0.0%,,,,,,,19,0.0%,
SCH,< 6 SCH,507,-15.4%,,,,,,,507,-15.4%,
Categories,6-8 SCH,56,3.7%,,,,,,,56,3.7%,
,9-11 SCH,42,-23.6%,,,,,,,42,-23.6%,
,12-14 SCH,"1,795",0.3%,,,,,,,"1,795",0.3%,
,15-17 SCH,"1,208",-7.8%,,,,,,,"1,208",-7.8%,
,>17 SCH,9,-52.6%,,,,,,,9,-52.6%,
Ft/Pt:,Less Than Half Time,506,-15.4%,,,,,,,506,-15.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","55
41","1.9%
-25.5%",,,,,,,"55
41","1.9%
-25.5%",
,Full-Time,"3,015",-3.4%,,,,,,,"3,015",-3.4%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
