Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,112",-0.1%,545,2.3%,695,0.7%,,,"5,352",0.2%,
Gender,Female,"3,127",-1.8%,394,-3.2%,477,-0.4%,,,"3,998",-1.8%,
,Male,985,5.7%,151,19.8%,218,3.3%,,,"1,354",6.7%,
Ethnicity,White,"3,473",-1.8%,402,1.0%,382,-1.5%,,,"4,257",-1.5%,
,Black,119,8.2%,34,-2.9%,89,-6.3%,,,242,0.8%,
,Hispanic,417,9.4%,54,5.9%,114,3.6%,,,585,7.9%,
,Asian,66,13.8%,7,133.3%,15,25.0%,,,88,20.5%,
,American Indian,15,-6.3%,0,-100.0%,4,33.3%,,,19,-5.0%,
,International,11,83.3%,46,17.9%,81,11.0%,,,138,16.9%,
,Unknown/Other,11,57.1%,2,-66.7%,10,11.1%,,,23,4.5%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"2,540",-0.7%,12,100.0%,,,,,"2,552",-0.4%,
,22-25,"1,418",-0.4%,262,4.0%,38,18.8%,,,"1,718",0.6%,
,26-30,89,14.1%,117,-4.9%,117,3.5%,,,323,2.9%,
,31-39,36,-5.3%,85,7.6%,249,1.6%,,,370,2.2%,
,40+,27,42.1%,69,-5.5%,291,-3.0%,,,387,-1.3%,
Enrollment,1st Time in College,452,8.1%,,,,,,,452,8.1%,
Status,1st Time PB,2,100.0%,70,20.7%,,,,,72,22.0%,
,1st Time Graduate,,,176,-13.7%,45,-29.7%,,,221,-17.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,281,-4.1%,,,,,,,281,-4.1%,
,Readmitted,44,-21.4%,5,150.0%,4,-42.9%,,,53,-18.5%,
,Continuing,"3,333",-0.4%,294,9.3%,646,4.4%,,,"4,273",0.9%,
Tuition,Resident Tuition,"3,995",-0.3%,444,-0.9%,542,-0.4%,,,"4,981",-0.4%,
Status,Non-Resident Tuition,49,-10.9%,39,44.4%,38,-7.3%,,,126,2.4%,
,Tuition  Exemption/Waiver,68,28.3%,62,6.9%,115,9.5%,,,245,13.4%,
Residency,Texas Resident,"4,026",-0.1%,451,-0.7%,564,-0.7%,,,"5,041",-0.2%,
Status,"Non-TX, US Resident",75,-6.3%,48,20.0%,50,2.0%,,,173,2.4%,
,"Non-TX, Non-US Resident",11,83.3%,46,17.9%,81,11.0%,,,138,16.9%,
SCH,< 6 SCH,32,0.0%,126,-21.3%,335,3.7%,,,493,-4.3%,
Categories,6-8 SCH,292,-9.3%,197,17.3%,86,-25.9%,,,575,-5.1%,
,9-11 SCH,252,-6.7%,155,29.2%,231,7.9%,,,638,5.6%,
,12-14 SCH,"1,756",9.6%,58,-17.1%,38,5.6%,,,"1,852",8.4%,
,15-17 SCH,"1,641",-6.9%,9,-40.0%,5,400.0%,,,"1,655",-7.0%,
,>17 SCH,139,9.4%,,,,,,,139,9.4%,
Ft/Pt:,Less Than Half Time,32,3.2%,88,-31.8%,268,0.4%,,,388,-9.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","104
193","10.6%
-16.5%",165,-16.7%,122,-27.8%,,,"391
193","-15.2%
-16.5%",
,Full-Time,"3,783",0.6%,292,41.7%,305,20.1%,,,"4,380",3.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
