"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,19,,27,46,,1,,1,,6,,3,9,,1,,2,3,,,,4,3,7,,1,,1,,31,,36,,67,
,,18,,23,41,,,,,,5,,3,8,,,,,,,,,1,3,4,,1,,1,,24,,30,,54,
,,,,2,2,,,,,,1,,,1,,1,,,1,,,,2,,2,,,,,,4,,2,,6,
,,1,,2,3,,1,,1,,,,,,,,,2,2,,,,1,,1,,,,,,3,,4,,7,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,6,,6,12,,,,,,,,1,1,,1,,,1,,,,,2,2,,1,,1,,7,,10,,17,
,,13,,19,32,,1,,1,,5,,1,6,,,,1,1,,,,1,1,2,,,,,,20,,22,,42,
,,,,1,1,,,,,,1,,1,2,,,,1,1,,,,3,,3,,,,,,4,,3,,7,
,,18,,23,41,,1,,1,,6,,2,8,,1,,2,3,,,,,1,1,,1,,1,,26,,29,,55,
,,1,,2,3,,,,,,,,1,1,,,,,,,,,3,2,5,,,,,,4,,5,,9,
,,,,2,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,2,,3,
,,18,,25,43,,1,,1,,6,,2,8,,1,,2,3,,,,,,,,1,,1,,26,,30,,56,
,,1,,2,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,3,,4,
,,,,,,,,,,,,,,,,,,,,,,,4,3,7,,,,,,4,,3,,7,
,,1,,1,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,1,,3,
,,,,,,,1,,1,,1,,,1,,,,,,,,,1,,1,,,,,,3,,,,3,
,,11,,13,24,,,,,,3,,2,5,,,,2,2,,,,1,2,3,,1,,1,,15,,20,,35,
,,7,,13,20,,,,,,2,,1,3,,,,,,,,,2,1,3,,,,,,11,,15,,26,
,,1,,1,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,1,,3,
,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,2,,,,2,
,,18,,26,44,,1,,1,,5,,3,8,,,,2,2,,,,3,3,6,,1,,1,,27,,35,,62,
,,18,,23,41,,1,,1,,6,,2,8,,1,,1,2,,,,4,3,7,,1,,1,,30,,30,,60,
,,1,,4,5,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,1,,6,,7,
,,13,,20,33,,,,,,2,,1,3,,1,,2,3,,,,,1,1,,1,,1,,16,,25,,41,
,,,,,,,,,,,,,,,,,,,,,,,4,2,6,,,,,,4,,2,,6,
,,6,,7,13,,1,,1,,4,,2,6,,,,,,,,,,,,,,,,,11,,9,,20,
,,17,,25,42,,1,,1,,5,,2,7,,1,,2,3,,,,3,2,5,,1,,1,,27,,32,,59,
,,2,,2,4,,,,,,1,,1,2,,,,,,,,,1,1,2,,,,,,4,,4,,8,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
