"Fall 2006
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,134,199,333,,4,,4,8,,10,10,20,,4,,4,8,1,2,3,4,2,6,1,2,,3,158,,223,,381,
,110,157,267,,3,,4,7,,6,6,12,,4,,2,6,1,2,3,2,,2,,2,,2,126,,173,,299,
,18,32,50,,1,,,1,,3,4,7,,,,2,2,,,,1,2,3,1,,,1,24,,40,,64,
,3,8,11,,,,,,,,,,,,,,,,,,1,,1,,,,,4,,8,,12,
,2,2,4,,,,,,,1,,1,,,,,,,,,,,,,,,,3,,2,,5,
,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,6,16,22,,,,,,,,,,,1,,1,2,,,,,,,,1,,1,7,,18,,25,
,75,105,180,,2,,3,5,,6,3,9,,2,,1,3,,1,1,1,,1,,,,,86,,113,,199,
,52,75,127,,2,,1,3,,4,7,11,,1,,1,2,1,1,2,1,2,3,,1,,1,61,,88,,149,
,1,3,4,,,,,,,,,,,,,1,1,,,,2,,2,1,,,1,4,,4,,8,
,125,189,314,,3,,2,5,,10,9,19,,3,,3,6,1,2,3,1,,1,1,1,,2,144,,206,,350,
,3,4,7,,,,1,1,,,,,,1,,,1,,,,1,,1,,,,,5,,5,,10,
,6,6,12,,1,,1,2,,,1,1,,,,1,1,,,,2,2,4,,1,,1,9,,12,,21,
,126,190,316,,3,,2,5,,10,10,20,,3,,3,6,1,2,3,,,,1,1,,2,144,,208,,352,
,8,9,17,,1,,2,3,,,,,,1,,1,2,,,,,,,,,,,10,,12,,22,
,,,,,,,,,,,,,,,,,,,,,4,2,6,,1,,1,4,,3,,7,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,2,2,4,,,,,,,,,,,,,,,,,,1,,1,,,,,3,,2,,5,
,9,7,16,,,,,,,1,,1,,,,,,,,,,,,,,,,10,,7,,17,
,63,106,169,,2,,4,6,,6,6,12,,2,,4,6,1,1,2,1,2,3,,1,,1,75,,124,,199,
,60,83,143,,2,,,2,,3,4,7,,2,,,2,,1,1,2,,2,1,1,,2,70,,89,,159,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,2,2,4,,,,,,,,,,,,,,,,,,1,,1,,,,,3,,2,,5,
,9,7,16,,,,,,,1,,1,,,,,,,,,,,,,,,,10,,7,,17,
,123,189,312,,4,,4,8,,9,10,19,,4,,4,8,1,2,3,3,2,5,1,2,,3,145,,213,,358,
,128,196,324,,4,,4,8,,10,10,20,,4,,4,8,,2,2,4,2,6,1,2,,3,151,,220,,371,
,6,3,9,,,,,,,,,,,,,,,1,,1,,,,,,,,7,,3,,10,
,78,124,202,,1,,,1,,5,5,10,,1,,3,4,1,,1,,,,1,1,,2,87,,133,,220,
,2,7,9,,,,1,1,,,1,1,,,,1,1,,,,3,2,5,,1,,1,5,,13,,18,
,54,68,122,,3,,3,6,,5,4,9,,3,,,3,,2,2,1,,1,,,,,66,,77,,143,
,129,193,322,,3,,4,7,,9,9,18,,4,,4,8,1,2,3,4,2,6,1,2,,3,151,,216,,367,
,5,6,11,,1,,,1,,1,1,2,,,,,,,,,,,,,,,,7,,7,,14,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
