"Fall 2006
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
40+
Classification                  Freshman Sophomore Junior
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,67,,75,142,,3,,1,4,,13,18,31,,3,,4,7,1,,1,1,,1,1,,,1,,89,,98,,187,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,67,,74,141,,3,,1,4,,13,18,31,,3,,4,7,1,,1,1,,1,1,,,1,,89,,97,,186,
,,65,,75,140,,3,,1,4,,12,17,29,,3,,4,7,1,,1,1,,1,1,,,1,,86,,97,,183,
,,2,,,2,,,,,,,1,1,2,,,,,,,,,,,,,,,,,3,,1,,4,
,,58,,73,131,,3,,1,4,,12,18,30,,3,,4,7,1,,1,,,,1,,,1,,78,,96,,174,
,,3,,,3,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,5,,,,5,
,,6,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,6,,2,,8,
,,60,,75,135,,3,,1,4,,12,18,30,,3,,4,7,1,,1,,,,1,,,1,,80,,98,,178,
,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,
,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,2,,,,2,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,53,,47,100,,1,,,1,,10,14,24,,3,,2,5,,,,,,,1,,,1,,68,,63,,131,
,,14,,26,40,,2,,1,3,,3,4,7,,,,2,2,1,,1,,,,,,,,,20,,33,,53,
,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,67,,73,140,,3,,1,4,,13,18,31,,3,,4,7,1,,1,1,,1,1,,,1,,89,,96,,185,
,,18,,37,55,,1,,,1,,3,7,10,,2,,2,4,1,,1,1,,1,1,,,1,,27,,46,,73,
,,49,,38,87,,2,,1,3,,10,11,21,,1,,2,3,,,,,,,,,,,,62,,52,,114,
,,62,,69,131,,1,,1,2,,7,8,15,,3,,3,6,1,,1,,,,,,,,,74,,81,,155,
,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,,2,
,,5,,5,10,,2,,,2,,6,10,16,,,,1,1,,,,,,,1,,,1,,14,,16,,30,
,,21,,24,45,,,,,,,5,1,6,,2,,2,4,1,,1,,,,,,,,,29,,27,,56,
,,46,,51,97,,3,,1,4,,8,17,25,,1,,2,3,,,,1,,1,1,,,1,,60,,71,,131,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
