Fall 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,74,-2.6%,4,100.0%,10,-9.1%,5,-28.6%,1,100.0%,59,-20.3%,1,-75.0%,154,-11.5%,
,COMG,17,-34.6%,2,100.0%,3,0.0%,3,0.0%,,,59,96.7%,,,84,33.3%,
,COSC,317,2.6%,2,-50.0%,36,12.5%,3,-50.0%,1,100.0%,1,-50.0%,2,0.0%,362,2.0%,
,COSL,231,4.1%,5,25.0%,31,10.7%,6,500.0%,2,0.0%,1,100.0%,3,50.0%,279,7.7%,
,ENDL,286,11.3%,7,40.0%,51,15.9%,17,-5.6%,1,-50.0%,3,200.0%,2,100.0%,367,12.2%,
,ENDS,189,-6.0%,4,0.0%,30,7.1%,12,33.3%,1,0.0%,4,0.0%,1,0.0%,241,-2.8%,
,LAND,87,35.9%,1,0.0%,14,27.3%,1,100.0%,1,0.0%,8,-11.1%,1,100.0%,113,31.4%,
,LANL,46,-30.3%,,,9,28.6%,3,50.0%,,,1,100.0%,,,59,-21.3%,
,LDEV,17,41.7%,1,0.0%,2,0.0%,2,100.0%,1,100.0%,8,33.3%,1,-50.0%,32,33.3%,
,URPL,15,-6.3%,3,0.0%,2,100.0%,,,,,13,8.3%,1,100.0%,34,6.3%,
,URSC,10,0.0%,1,0.0%,1,0.0%,1,100.0%,,,32,-15.8%,1,0.0%,46,-9.8%,
,VIZA,44,2.3%,1,0.0%,5,-16.7%,6,-14.3%,,,8,-20.0%,1,0.0%,65,-4.4%,
,Subtotal,"1,333",2.4%,31,14.8%,194,11.5%,59,9.3%,8,33.3%,197,5.9%,14,7.7%,"1,836",4.2%,
Business,ACCT,658,-2.4%,8,0.0%,50,25.0%,38,18.8%,3,0.0%,16,6.7%,4,33.3%,777,0.3%,
Admin,AGBU,6,-25.0%,,,0,-100.0%,,,,,,,,,6,-33.3%,
