Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Fall 2006,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Fall 2006,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count,,4,56,71,36,6,173,
Gender,Female,2,20,24,15,4,65,
,Male,2,36,47,21,2,108,
SCH,< 6 SCH,4,2,,,,6,
Categories,6-8 SCH,,,,,2,2,
9-11 SCH,,,,6,1,,7,
,12-14 SCH,,20,33,9,,62,
15-17 SCH,,,23,30,23,3,79,
,>17 SCH,,11,2,3,1,17,
"Prepared by OISP, 28 Nov 06",,,,,,,,
