"Fall 2006
Headcount Total
TAMU Age                       18-21
Categories                         22-25
26-30
31-39
40+
Classification                    Freshman Sophomore Junior Senior
Tuition Status                    Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status               Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories                 < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU Status         Less Than Half Time
Half-Time
Three-Quarter Time Full-Time
Top 10% Texas High        No School                               Yes
First Generation                No Unknown Yes
Dorm / Off-campus           Off-campus students                             Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,To,t,
,604,723,"1,327",,16,14,30,,85,88,173,24,32,56,7,5,12,21,42,63,4,6,10,761,,910,,"1,671",
,530,576,"1,106",,11,13,24,,57,63,120,19,24,43,5,3,8,14,35,49,3,5,8,639,,719,,"1,358",
,49,112,161,,3,,3,,21,16,37,2,6,8,1,2,3,4,5,9,1,,1,81,,141,,222,
,14,26,40,,1,,1,,3,6,9,3,2,5,1,,1,2,2,4,,1,1,24,,37,,61,
,6,7,13,,,1,1,,3,2,5,,,,,,,1,,1,,,,10,,10,,20,
,5,2,7,,1,,1,,1,1,2,,,,,,,,,,,,,7,,3,,10,
,34,61,95,,,1,1,,3,5,8,4,3,7,1,,1,1,6,7,,2,2,43,,78,,121,
,352,401,753,,6,11,17,,43,37,80,13,22,35,4,2,6,5,20,25,1,2,3,424,,495,,919,
,210,241,451,,9,2,11,,34,45,79,4,4,8,2,3,5,9,16,25,2,2,4,270,,313,,583,
,8,20,28,,1,,1,,5,1,6,3,3,6,,,,6,,6,1,,1,24,,24,,48,
,569,683,"1,252",,14,10,24,,82,82,164,22,26,48,7,4,11,4,4,8,3,5,8,701,,814,,"1,515",
,20,24,44,,1,2,3,,3,3,6,2,4,6,,1,1,13,31,44,1,,1,40,,65,,105,
,15,16,31,,1,2,3,,,3,3,,2,2,,,,4,7,11,,1,1,20,,31,,51,
,582,696,"1,278",,14,11,25,,83,87,170,23,29,52,7,4,11,,,,3,5,8,712,,832,,"1,544",
,22,27,49,,2,3,5,,2,1,3,1,3,4,,1,1,,,,,,,27,,35,,62,
,,,,,,,,,,,,,,,,,,21,42,63,1,1,2,22,,43,,65,
,1,3,4,,,,,,,,,,,,1,,1,,,,,,,2,,3,,5,
,16,14,30,,,,,,1,2,3,1,1,2,,,,1,1,2,,,,19,,18,,37,
,30,28,58,,1,,1,,5,1,6,,1,1,,,,3,4,7,,,,39,,34,,73,
,283,407,690,,8,7,15,,52,53,105,14,22,36,5,2,7,8,22,30,,3,3,370,,516,,886,
,269,270,539,,7,7,14,,27,31,58,9,8,17,1,3,4,9,15,24,3,3,6,325,,337,,662,
,5,1,6,,,,,,,1,1,,,,,,,,,,1,,1,6,,2,,8,
,1,3,4,,,,,,,,,,,,1,,1,,,,,,,2,,3,,5,
,16,14,30,,,,,,1,2,3,1,1,2,,,,1,1,2,,,,19,,18,,37,
,29,26,55,,,,,,5,1,6,,1,1,,,,3,4,7,,,,37,,32,,69,
,558,680,"1,238",,16,14,30,,79,85,164,23,30,53,6,5,11,17,37,54,4,6,10,703,,857,,"1,560",
,561,689,"1,250",,16,13,29,,84,84,168,24,30,54,4,5,9,21,41,62,4,6,10,714,,868,,"1,582",
,43,34,77,,,1,1,,1,4,5,,2,2,3,,3,,1,1,,,,47,,42,,89,
,387,488,875,,6,4,10,,32,44,76,16,21,37,5,2,7,2,5,7,2,3,5,450,,567,,"1,017",
,11,18,29,,,3,3,,3,3,6,1,2,3,,,,18,36,54,1,2,3,34,,64,,98,
,206,217,423,,10,7,17,,50,41,91,7,9,16,2,3,5,1,1,2,1,1,2,277,,279,,556,
,566,672,"1,238",,12,11,23,,76,80,156,21,28,49,7,4,11,15,33,48,3,6,9,700,,834,,"1,534",
,38,51,89,,4,3,7,,9,8,17,3,4,7,,1,1,6,9,15,1,,1,61,,76,,137,
"Prepared by OISP, 07 Dec 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
