Data and Research Services,,,,,
Demographic Summary,,,,,
First Generation FTIC Students  (College Station Campus),,,,,
Official 12th Class Day Data -- Certified,,,,,
Fall 2012,First Generation Undergraduates,,,Grand Total,
,Unknown,Yes,No,,
Headcount Total,253,"2,313","5,573","8,139",
Gender                     Female,114,"1,303","2,811","4,228",
Male,139,"1,010","2,762","3,911",
Ethnicity                  White Only (NEW),98,912,"4,295","5,305",
American Indian Only (NEW),,5,17,22,
Asian Only (NEW),20,152,244,416,
Black Only + 2 or more/1 Black (NEW),21,158,119,298,
Hispanic or Latino of any Race (NEW),58,"1,033",717,"1,808",
Native Hawaii Only (New),,3,4,7,
2 or More/Excluding Black (NEW),8,48,165,221,
International,42,1,3,46,
Unknown or Not Reported,6,1,9,16,
TAMU Age               <18,2,17,40,59,
Categories               18-21,251,"2,292","5,529","8,072",
22-25,,4,4,8,
College                     Agriculture,22,223,459,704,
Architecture,12,72,121,205,
Business Admin,22,159,595,776,
Education,19,168,393,580,
Engineering,47,399,"1,160","1,606",
Geosciences,8,35,113,156,
Liberal Arts,29,252,533,814,
Science,50,359,625,"1,034",
Veterinary Medicine,13,241,451,705,
General Studies,31,405,"1,123","1,559",
Enrollment Status 1st Time in College,253,"2,313","5,573","8,139",
Tuition Status         Resident Tuition,192,"2,155","4,964","7,311",
Non-Resident Tuition,36,12,92,140,
Tuition Exemption/Waiver,25,146,517,688,
Residency Status    Texas Resident,203,"2,275","5,334","7,812",
"Non-TX, US Resident",9,38,230,277,
"Non-TX, Non-US Resident",41,,9,50,
SCH Categories      < 6 SCH,12,192,706,910,
6-8 SCH,,13,21,34,
9-11 SCH,,1,13,14,
12-14 SCH,135,"1,341","2,828","4,304",
15-17 SCH,98,757,"1,991","2,846",
>17 SCH,8,9,14,31,
Ft/Pt: TAMU         Less Than Half Time,13,192,706,911,
Status                       Half-Time,6,14,34,54,
Full-Time,234,"2,107","4,833","7,174",
Top 10% Texas       No,106,568,"2,643","3,317",
High School            Yes,147,"1,745","2,930","4,822",
"Prepared by DARS, 07 Dec 12",,,,,
Page 167,,,,,
