Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Architecture            COSC COSL ENDL ENDS LAND URPL URSC USAR VISL VIST
Subtotal",,,,,5,,5,,,,,,,5,
,,2,2,1,,,5,,,,,,,5,
,,2,,,,,2,,,,,,,2,
,,,,2,3,,5,,,,,,,5,
,,,,1,3,,4,1,1,,,,,5,
,,,,,,,,1,1,,,,,1,
,,1,,,,,1,,,,,,,1,
,,,,1,,,1,,,,,,,1,
,,,1,,,,1,,,,,,,1,
,,,,,2,,2,2,2,,,,,4,
,,5,3,5,13,,26,4,4,,,,,30,
Business Admin,ACCT,,,5,5,,10,1,1,,,,,11,
,"AGBU BUAD FINC INFO MGMT MKTG USBU
Subtotal",,,1,,,1,,,,,,,1,
,,19,15,5,,,39,,,,,,,39,
,,,,2,1,,3,1,1,,,,,4,
,,,,3,5,,8,,,,,,,8,
,,,,2,1,,3,,,,,,,3,
,,,,5,7,,12,1,1,,,,,13,
,,,,,5,,5,,,,,,,5,
,,19,15,23,24,,81,3,3,,,,,84,
