Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,,,1,,,1,,,,,,,1,
,AGBU,,,1,1,,2,1,1,,,,,3,
,AGCJ,,1,3,3,,7,,,,,,,7,
,AGEC,,,,2,,2,,,,,,,2,
,AGLS,,1,2,,,3,,,,,,,3,
,AGRO,,1,2,1,,4,,,,,,,4,
,AGSC,,,1,1,,2,,,,,,,2,
,AGSM,,1,1,1,,3,,,,,,,3,
,ALEC,,,,,,,2,2,,,,,2,
,ALED,,2,3,2,,7,,,,,,,7,
,ANSC,4,6,6,6,1,23,1,1,,,,,24,
,BAEN,,1,1,3,,5,1,1,,,,,6,
,BESC,1,2,,4,,7,,,,,,,7,
,BICH,2,1,3,2,,8,,,1,1,,,9,
,ENTO,1,1,,,,2,,,,,,,2,
,FIVL,1,,,,,1,,,,,,,1,
,FIVS,,,,1,,1,,,,,,,1,
,FSTC,1,,1,3,,5,1,1,,,,,6,
,GENE,,2,,1,,3,,,,,,,3,
,HORT,1,,,2,,3,,,,,,,3,
,NRDV,,,,,,,1,1,,,,,1,
,NUSC,,1,3,4,,8,,,,,,,8,
,POSC,,,,1,,1,,,,,,,1,
,PSSC,,,,1,,1,,,,,,,1,
,RLEM,,1,1,,,2,,,,,,,2,
,RPTS,1,2,4,2,,9,,,,,,,9,
,SPSA,,,,1,,1,,,,,,,1,
,USAL,,,,1,,1,,,,,,,1,
,WFSC,,2,1,3,,6,,,,,,,6,
,Subtotal,12,25,34,46,1,118,7,7,1,1,,,126,
