Fall 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science,APHY,,7,1,,,,,,1,1,,,1,,,1,,,3,9,12,
APMS,,41,83,,,8,10,1,7,9,23,,,4,5,,5,1,1,64,134,198,
BIOL,,415,300,2,2,98,102,31,14,221,137,3,,21,9,26,19,,1,817,584,"1,401",
BMCB,,26,24,,1,6,10,1,2,7,20,,,2,4,1,,,1,43,62,105,
BOTN,,1,,,,,,,,,1,,,,,,,,,1,1,2,
CHEM,,137,154,1,2,21,35,8,7,38,50,,,6,6,57,100,3,2,271,356,627,
GENE,,1,1,,,,,,,,,,,,,,,,,1,1,2,
MATH,,115,130,,,4,7,6,1,32,59,1,,8,9,29,61,1,2,196,269,465,
MBIO,,37,22,,,2,5,3,1,7,15,,,2,2,8,1,,,59,46,105,
MSEN,,,,,,,,,,,,,,,1,,,,,,1,1,
PHYS,,30,160,,2,2,17,,7,12,42,,,1,14,8,92,,2,53,336,389,
STAT,,27,57,,,9,7,1,3,2,3,,,1,1,23,23,1,4,64,98,162,
USSC,,8,8,,,,1,1,,1,2,,,,,,,,,10,11,21,
ZOOL,,45,18,,,2,1,4,,14,2,,,2,1,1,,,,68,22,90,
Subtotal,,883,964,4,7,152,195,56,42,344,355,4,,48,52,153,302,6,13,"1,650","1,930","3,580",
Veterinary,BIMS,809,357,2,1,109,76,66,13,293,102,1,,33,16,14,19,2,2,"1,329",586,"1,915",
Medicine,BIOT,,,,,,,,,1,,,,,,2,,,,3,,3,
EPID,,,,,,,,,,,,,,,,,1,,,,1,1,
GENE,,5,3,,,,,,,1,,,,,,1,,,,7,3,10,
LAMD,,1,,,,,,,,,,,,,,,,,,1,,1,
STJR,,5,,,,,,,,1,,,,1,,2,1,,,9,1,10,
TOXI,,6,1,,,,1,1,,,,,,,,2,3,,,9,5,14,
USVM,,,1,,,,,,,,,,,,,,,,,,1,1,
VPAT,,11,1,,,1,,,,,2,,,1,,,1,,,13,4,17,
VPHY,,1,,,,,,,,,,,,,,,,,,1,,1,
VTMD,,349,101,2,1,13,,3,1,30,16,,,2,,,,7,2,406,121,527,
VTMI,,4,2,,,,,1,,1,,,,,,2,1,,,8,3,11,
VTPH,,,1,,,,,,,,,,,,,,,,,,1,1,
Subtotal,,"1,191",467,4,2,123,77,71,14,327,120,1,,37,16,23,26,9,4,"1,786",726,"2,512",
General Studies,GEST,630,796,2,3,53,80,54,52,238,291,,4,25,22,2,14,1,7,"1,005","1,269","2,274",
TEAM,,459,536,3,3,14,21,11,11,101,97,1,1,15,20,,,2,1,606,690,"1,296",
Subtotal,,"1,089","1,332",5,6,67,101,65,63,339,388,1,5,40,42,2,14,3,8,"1,611","1,959","3,570",
Other - Special,MARM,,,,,,,,,,1,,,,,,,,,,1,1,
Populations,MDSC,2,3,,,1,1,,,2,,,,,,,1,1,,6,5,11,
PHLT,,7,3,,,1,1,1,,1,,,,,,2,1,2,2,14,7,21,
REEP,,,,,,,,,,,,,,,,42,71,2,1,44,72,116,
Subtotal,,9,6,,,2,2,1,,3,1,,,,,44,73,5,3,64,85,149,
Total,,"15,522","16,785",69,73,975,"1,368",916,796,"4,026","4,102",18,25,473,503,"1,460","2,910",80,126,"23,539","26,688","50,227",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,,,,,,,,,
Page 88,,,,,,,,,,,,,,,,,,,,,,,
