Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,1,1,2,,,,,,,2,
,ALEC,,,,,,1,1,1,1,,,2,
,ANSC,,,,2,2,,,,,,,2,
,BAEN,,,1,,1,,,,,,,1,
,BCBP,,1,,1,2,,,2,2,,,4,
,NFSC,2,,,,2,,,,,,,2,
,PLPM,,,,,,,,1,1,,,1,
,RPTS,,,1,,1,,,,,,,1,
,WFSC,,,1,1,2,,,1,1,,,3,
,Subtotal,2,1,4,5,12,1,1,5,5,,,18,
Architecture,ARCH,1,,,,1,,,3,3,,,4,
,LAUP,,,,,,1,1,,,,,1,
,VIZA,,,1,,1,1,1,,,,,2,
,Subtotal,1,,1,,2,2,2,3,3,,,7,
Business Admin,ACCT,,,,2,2,,,2,2,,,4,
,CLBA,1,1,,,2,14,14,,,,,16,
,FINC,,1,,1,2,,,,,,,2,
,INFO,,,1,,1,,,,,,,1,
,MGMT,,,1,,1,1,1,,,,,2,
,MKTG,,,,,,1,1,1,1,,,2,
,Subtotal,1,2,2,3,8,16,16,3,3,,,27,
Education,EAHR,,,,,,,,1,1,,,1,
,EPSY,,,,,,2,2,1,1,,,3,
,HLKN,,,,,,2,2,,,,,2,
,TLAC,,,,,,2,2,2,2,,,4,
,Subtotal,,,,,,6,6,4,4,,,10,
