Fall 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,143,81,1,,8,5,7,3,45,22,,,8,4,6,6,1,,219,121,340,
,CLLA,280,189,2,,18,9,23,14,121,56,1,,8,9,5,,1,1,459,278,737,
,COMM,591,156,2,,15,5,26,12,101,44,,1,24,5,6,2,4,1,769,226,995,
,ECON,116,394,,1,13,44,9,18,25,84,,,4,11,89,100,2,4,258,656,914,
,ENGL,380,131,4,1,10,7,18,4,104,38,1,,11,4,14,7,2,,544,192,736,
,EURO,22,16,,,1,,1,1,5,2,,,,,,1,,,29,20,49,
,HISP,27,8,,,,,1,,41,22,,,,,2,7,,1,71,38,109,
,HIST,194,362,1,2,3,6,8,9,50,61,,,8,10,2,3,2,2,268,455,723,
,PHUM,20,60,,,1,3,1,1,8,18,,,2,4,,,,1,32,87,119,
,POLS,174,311,1,3,13,19,16,13,65,92,,,8,11,8,5,2,2,287,456,743,
,PRFM,28,19,,,2,1,4,2,9,6,,,2,1,,,1,,46,29,75,
,PSYC,717,222,3,,34,30,49,21,242,72,1,,14,7,10,13,3,,"1,073",365,"1,438",
,SOCI,196,90,2,1,13,5,43,31,99,44,1,,7,4,10,4,1,1,372,180,552,
,Subtotal,"2,888","2,039",16,8,131,134,206,129,915,561,4,1,96,70,152,148,19,13,"4,427","3,103","7,530",
Science,BIOL,525,365,2,3,108,118,39,17,249,175,3,,27,16,36,20,,2,989,716,"1,705",
,CHEM,137,154,1,2,21,35,8,7,38,50,,,6,6,57,100,3,2,271,356,627,
,CLSC,8,8,,,,1,1,,1,2,,,,,,,,,10,11,21,
,MATH,156,213,,,12,17,7,8,41,82,1,,12,14,29,66,2,3,260,403,663,
,PHYS,30,167,1,2,2,17,,7,13,43,,,2,15,8,93,,2,56,346,402,
,STAT,27,57,,,9,7,1,3,2,3,,,1,1,23,23,1,4,64,98,162,
,Subtotal,883,964,4,7,152,195,56,42,344,355,4,,48,52,153,302,6,13,"1,650","1,930","3,580",
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,"1,135",446,4,2,121,72,68,14,320,116,1,,35,16,3,4,8,4,"1,695",674,"2,369",
,VIBS,13,8,,,,2,2,,3,,,,1,,8,11,1,,28,21,49,
,VLCS,11,2,,,,,,,,,,,,,,,,,11,2,13,
,VSCS,,2,,,,,,,,2,,,,,3,4,,,3,8,11,
,VTPB,22,4,,,2,,1,,3,2,,,1,,4,2,,,33,8,41,
,VTPP,10,5,,,,3,,,1,,,,,,5,5,,,16,13,29,
,Subtotal,"1,191",467,4,2,123,77,71,14,327,120,1,,37,16,23,26,9,4,"1,786",726,"2,512",
,GEST,"1,089","1,332",5,6,67,101,65,63,339,388,1,5,40,42,2,14,3,8,"1,611","1,959","3,570",
,Subtotal,"1,089","1,332",5,6,67,101,65,63,339,388,1,5,40,42,2,14,3,8,"1,611","1,959","3,570",
,CLMD,2,3,,,1,1,,,2,,,,,,,1,1,,6,5,11,
,MARS,,,,,,,,,,1,,,,,,,,,,1,1,
,SABX,,,,,,,,,,,,,,,42,71,2,1,44,72,116,
,SRPH,7,3,,,1,1,1,,1,,,,,,2,1,2,2,14,7,21,
,Subtotal,9,6,,,2,2,1,,3,1,,,,,44,73,5,3,64,85,149,
Total,,"15,522","16,785",69,73,975,"1,368",916,796,"4,026","4,102",18,25,473,503,"1,460","2,910",80,126,"23,539","26,688","50,227",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,,,,,,,,,
