Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,,,
(College Station Campus),,,,,,,,,,,,,,,,
Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Fall 20,12,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,ADEV,,,,,,,,3,3,,,,,3,
,AGBL,4,4,4,,,12,,,,,,,,12,
,AGBU,,,2,10,,12,,2,2,,,,,14,
,AGCJ,2,9,10,7,,28,,,,,,,,28,
,AGEC,3,1,8,23,,35,,2,2,,,,,37,
,AGLS,4,7,8,2,,21,,,,,,,,21,
,AGRO,1,5,2,8,,16,,,,,,,,16,
,AGSC,1,1,3,8,,13,,,,,,,,13,
,AGSM,,3,4,8,,15,,,,,,,,15,
,ALEC,,,,,,,,4,4,4,4,,,8,
,ALED,6,17,15,33,,71,,,,,,,,71,
,ANSC,37,37,42,36,1,153,,3,3,5,5,,,161,
,BAEN,16,7,10,9,,42,,4,4,2,2,,,48,
,BESC,5,5,13,39,,62,,,,,,,,62,
,BICH,12,11,6,11,,40,,,,5,5,,,45,
,CDEV,1,3,1,1,,6,,,,,,,,6,
,ECOR,2,1,,3,,6,,,,,,,,6,
,ENST,1,1,1,2,,5,,,,,,,,5,
,ENTO,1,4,7,9,1,22,,4,4,5,5,,,31,
,FIVL,32,6,2,1,,41,,,,,,,,41,
,FIVS,,,3,6,,9,,,,,,,,9,
,FORS,,,,1,,1,,1,1,,,,,2,
,FSTC,,4,7,13,,24,,2,2,1,1,,,27,
,GENE,7,4,4,2,,17,,1,1,4,4,,,22,
,HORT,4,5,6,13,,28,,,,2,2,,,30,
,MEPS,,,,,,,,1,1,1,1,,,2,
,NRDV,,,,,,,,4,4,,,,,4,
,NUSC,16,20,27,28,1,92,,,,,,,,92,
,NUTR,,,,,,,,2,2,,,,,2,
,PLPA,,,,,,,,2,2,4,4,,,6,
,POSC,3,4,6,15,,28,,4,4,,,,,32,
,PREP,,,,,,,,1,1,,,,,1,
,PSSC,1,,,,,1,,,,,,,,1,
,RENR,,1,4,6,,11,,,,,,,,11,
,RLEM,1,1,1,2,,5,,4,4,9,9,,,18,
,RPTS,2,8,8,19,,37,,1,1,,,,,38,
,SOSC,,,,,,,,1,1,1,1,,,2,
,SPSA,,,1,2,,3,,,,,,,,3,
,USAL,,,7,5,,12,,,,,,,,12,
,WFSC,9,17,23,37,1,87,,12,12,15,15,,,114,
