Fall 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,PREP,10,,,,1,,,3,,14
,PSSC,,,,,1,,1,,,2
,RENR,50,1,1,2,11,,,,,65
,RLEM,76,,1,1,18,,2,8,,106
,RPTS,359,1,10,24,38,2,9,32,1,476
,RRDV,2,,,,,,,,,2
,SOSC,16,,,,2,,,7,,25
,SPSA,22,,1,1,3,,1,,,28
,TOXI,1,,,1,,,,1,,3
,USAL,75,1,,11,12,,1,,,100
,WFSC,359,1,4,10,114,2,6,19,3,518
,WISC,13,,,,2,,,,,15
,WMHS,12,,,1,2,,,3,,18
,Subtotal,"5,108",31,219,248,"1,075",7,126,436,18,"7,268"
Architecture,ARCH,58,1,6,2,15,,,75,3,160
,COMG,15,,2,2,3,,,40,,62
,COSC,280,3,4,5,53,,5,2,,352
,COSL,186,,5,9,50,,5,2,,257
,ENDL,134,,11,6,59,,2,3,1,216
,ENDS,99,,5,1,36,,5,1,,147
,LAND,46,,2,1,15,,5,35,,104
,LANL,23,,1,,18,,,,,42
,LDEV,12,,,4,2,,,8,,26
,LPDV,3,,,,1,,,4,,8
,URPL,23,,,2,7,,1,20,1,54
,URSC,47,,4,6,30,1,1,43,,132
,USAR,31,,1,2,16,,1,,,51
,VISL,101,,8,3,28,,1,,1,142
,VIST,117,1,11,1,20,,4,16,1,171
,Subtotal,"1,175",5,60,44,353,1,30,249,7,"1,924"
Business Admin,ACCT,635,,48,23,94,,11,27,4,842
,AGBU,4,,,,,,1,,,5
,BHNR,112,1,6,2,15,,,,,136
,BUAD,"1,397",3,103,48,250,1,39,53,6,"1,900"
,BUAG,14,,,,6,,,,,20
,EMBA,59,1,8,9,15,,,2,8,102
