Data and Research Services,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,
College Geosciences,,,,,,,,,,,
Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,753,100.0%,165,100.0%,202,100.0%,,,"1,120",100.0%,
Female,274,36.4%,71,43.0%,86,42.6%,,,431,38.5%,
Male,479,63.6%,94,57.0%,116,57.4%,,,689,61.5%,
Ethnicity                  White Only (NEW),549,72.9%,108,65.5%,90,44.6%,,,747,66.7%,
American Indian Only (NEW),3,.4%,,,1,.5%,,,4,.4%,
Asian Only (NEW),22,2.9%,5,3.0%,3,1.5%,,,30,2.7%,
Black Only + 2 or more/1 Black (NEW),17,2.3%,4,2.4%,1,.5%,,,22,2.0%,
Hispanic or Latino of any Race (NEW),121,16.1%,14,8.5%,6,3.0%,,,141,12.6%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),14,1.9%,3,1.8%,2,1.0%,,,19,1.7%,
International,25,3.3%,31,18.8%,96,47.5%,,,152,13.6%,
Unknown or Not Reported,2,.3%,,,3,1.5%,,,5,.4%,
TAMU Age               <18,,,,,,,,,,,
Categories                18-21,528,70.1%,,,,,,,528,47.1%,
22-25,199,26.4%,91,55.2%,43,21.3%,,,333,29.7%,
26-30,17,2.3%,50,30.3%,85,42.1%,,,152,13.6%,
31-39,8,1.1%,20,12.1%,56,27.7%,,,84,7.5%,
40+,1,.1%,4,2.4%,18,8.9%,,,23,2.1%,
Enrollment Status  1st Time in College,156,20.7%,,,,,,,156,13.9%,
1st Time Graduate,,,54,32.7%,39,19.3%,,,93,8.3%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,53,7.0%,,,,,,,53,4.7%,
Readmitted,16,2.1%,1,.6%,1,.5%,,,18,1.6%,
Continuing,528,70.1%,110,66.7%,162,80.2%,,,800,71.4%,
Tuition Status         Resident Tuition,681,90.4%,91,55.2%,41,20.3%,,,813,72.6%,
Non-Resident Tuition,29,3.9%,25,15.2%,33,16.3%,,,87,7.8%,
Tuition Exemption/Waiver,43,5.7%,49,29.7%,128,63.4%,,,220,19.6%,
Residency Status    Texas Resident,706,93.8%,95,57.6%,46,22.8%,,,847,75.6%,
"Non-TX, US Resident",24,3.2%,38,23.0%,56,27.7%,,,118,10.5%,
"Non-TX, Non-US Resident",23,3.1%,32,19.4%,100,49.5%,,,155,13.8%,
SCH Categories       < 6 SCH,8,1.1%,36,21.8%,24,11.9%,,,68,6.1%,
6-8 SCH,6,.8%,6,3.6%,5,2.5%,,,17,1.5%,
9-11 SCH,29,3.9%,115,69.7%,169,83.7%,,,313,27.9%,
12-14 SCH,347,46.1%,7,4.2%,4,2.0%,,,358,32.0%,
15-17 SCH,352,46.7%,1,.6%,,,,,353,31.5%,
>17 SCH,11,1.5%,,,,,,,11,1.0%,
Ft/Pt:  TAMU          Less Than Half Time,8,1.1%,33,20.0%,22,10.9%,,,63,5.6%,
Status                        Half-Time,37,4.9%,10,6.1%,9,4.5%,,,56,5.0%,
Full-Time,708,94.0%,122,73.9%,171,84.7%,,,"1,001",89.4%,
Top 10% Texas        No,450,59.8%,162,98.2%,197,97.5%,,,809,72.2%,
High School             Yes,303,40.2%,3,1.8%,5,2.5%,,,311,27.8%,
First Generation     No,521,69.2%,104,63.0%,90,44.6%,,,715,63.8%,
Unknown,35,4.6%,21,12.7%,43,21.3%,,,99,8.8%,
Yes,197,26.2%,40,24.2%,69,34.2%,,,306,27.3%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 13,,,,,,,,,,,
