Data and Research Services,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,
College Engineering,,,,,,,,,,,
Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"8,397",100.0%,"1,375",100.0%,"1,509",100.0%,,,"11,281",100.0%,
Female,"1,607",19.1%,318,23.1%,286,19.0%,,,"2,211",19.6%,
Male,"6,790",80.9%,"1,057",76.9%,"1,223",81.0%,,,"9,070",80.4%,
Ethnicity                  White Only (NEW),"5,607",66.8%,426,31.0%,301,19.9%,,,"6,334",56.1%,
American Indian Only (NEW),25,.3%,1,.1%,2,.1%,,,28,.2%,
Asian Only (NEW),526,6.3%,70,5.1%,49,3.2%,,,645,5.7%,
Black Only + 2 or more/1 Black (NEW),220,2.6%,25,1.8%,24,1.6%,,,269,2.4%,
Hispanic or Latino of any Race (NEW),"1,473",17.5%,94,6.8%,61,4.0%,,,"1,628",14.4%,
Native Hawaii Only (New),13,.2%,,,1,.1%,,,14,.1%,
2 or More/Excluding Black (NEW),186,2.2%,12,.9%,4,.3%,,,202,1.8%,
International,320,3.8%,733,53.3%,"1,053",69.8%,,,"2,106",18.7%,
Unknown or Not Reported,27,.3%,14,1.0%,14,.9%,,,55,.5%,
TAMU Age               <18,15,.2%,,,,,,,15,.1%,
Categories                18-21,"5,874",70.0%,23,1.7%,1,.1%,,,"5,898",52.3%,
22-25,"2,308",27.5%,845,61.5%,346,22.9%,,,"3,499",31.0%,
26-30,131,1.6%,347,25.2%,776,51.4%,,,"1,254",11.1%,
31-39,60,.7%,124,9.0%,352,23.3%,,,536,4.8%,
40+,9,.1%,36,2.6%,34,2.3%,,,79,.7%,
Enrollment Status  1st Time in College,"1,606",19.1%,,,,,,,"1,606",14.2%,
1st Time Graduate,,,548,39.9%,278,18.4%,,,826,7.3%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,258,3.1%,,,,,,,258,2.3%,
Readmitted,42,.5%,2,.1%,,,,,44,.4%,
Continuing,"6,491",77.3%,825,60.0%,"1,231",81.6%,,,"8,547",75.8%,
Tuition Status         Resident Tuition,"7,480",89.1%,471,34.3%,250,16.6%,,,"8,201",72.7%,
Non-Resident Tuition,298,3.5%,556,40.4%,252,16.7%,,,"1,106",9.8%,
Tuition Exemption/Waiver,619,7.4%,348,25.3%,"1,007",66.7%,,,"1,974",17.5%,
Residency Status    Texas Resident,"7,766",92.5%,502,36.5%,276,18.3%,,,"8,544",75.7%,
"Non-TX, US Resident",314,3.7%,129,9.4%,161,10.7%,,,604,5.4%,
"Non-TX, Non-US Resident",317,3.8%,744,54.1%,"1,072",71.0%,,,"2,133",18.9%,
SCH Categories       < 6 SCH,118,1.4%,206,15.0%,150,9.9%,,,474,4.2%,
6-8 SCH,118,1.4%,80,5.8%,12,.8%,,,210,1.9%,
9-11 SCH,255,3.0%,"1,008",73.3%,"1,300",86.1%,,,"2,563",22.7%,
12-14 SCH,"4,563",54.3%,77,5.6%,36,2.4%,,,"4,676",41.5%,
15-17 SCH,"3,146",37.5%,4,.3%,10,.7%,,,"3,160",28.0%,
>17 SCH,197,2.3%,,,1,.1%,,,198,1.8%,
Ft/Pt:  TAMU          Less Than Half Time,121,1.4%,191,13.9%,140,9.3%,,,452,4.0%,
Status                        Half-Time,382,4.5%,100,7.3%,26,1.7%,,,508,4.5%,
Full-Time,"7,894",94.0%,"1,084",78.8%,"1,343",89.0%,,,"10,321",91.5%,
Top 10% Texas        No,"3,986",47.5%,"1,353",98.4%,"1,467",97.2%,,,"6,806",60.3%,
High School             Yes,"4,411",52.5%,22,1.6%,42,2.8%,,,"4,475",39.7%,
First Generation     No,"6,127",73.0%,571,41.5%,741,49.1%,,,"7,439",65.9%,
Unknown,471,5.6%,645,46.9%,419,27.8%,,,"1,535",13.6%,
Yes,"1,799",21.4%,159,11.6%,349,23.1%,,,"2,307",20.5%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 11,,,,,,,,,,,
