Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,306,190,496,1,,1,10,15,25,38,12,50,147,63,210,,1,1,14,12,26,1,1,2,1,2,3,518,296,
"TAMU Age           <18
Categories",2,,2,,,,,,,3,,3,2,,2,,,,,,,,,,,,,7,,
18-21,304,188,492,1,,1,10,15,25,35,12,47,145,63,208,,1,1,14,12,26,1,1,2,1,2,3,511,294,
22-25,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Classification      Freshman,277,173,450,1,,1,9,14,23,33,12,45,127,51,178,,1,1,13,12,25,1,1,2,1,1,2,462,265,
Sophomore,26,16,42,,,,1,1,2,3,,3,19,8,27,,,,1,,1,,,,,1,1,50,26,
Junior,3,1,4,,,,,,,2,,2,1,4,5,,,,,,,,,,,,,6,5,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,267,161,428,1,,1,9,13,22,33,11,44,141,57,198,,1,1,11,10,21,,,,1,2,3,463,255,
Non-Resident Tuition,11,3,14,,,,,,,1,,1,2,,2,,,,,,,1,1,2,,,,15,4,
Tuition Exemption/Waiver,28,26,54,,,,1,2,3,4,1,5,4,6,10,,,,3,2,5,,,,,,,40,37,
Residency            Texas Resident Status,290,174,464,1,,1,10,15,25,37,11,48,145,62,207,,1,1,14,10,24,,,,1,2,3,498,275,
"Non-TX, US Resident",16,15,31,,,,,,,1,1,2,1,1,2,,,,,2,2,,,,,,,18,19,
"Non-TX, Non-US Resident",,1,1,,,,,,,,,,1,,1,,,,,,,1,1,2,,,,2,2,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,117,77,194,1,,1,6,4,10,25,8,33,73,37,110,,,,4,8,12,1,,1,,,,227,134,
15-17 SCH,185,112,297,,,,4,11,15,13,4,17,71,26,97,,1,1,10,4,14,,1,1,1,2,3,284,161,
>17 SCH,4,1,5,,,,,,,,,,3,,3,,,,,,,,,,,,,7,1,
Ft/Pt:  TAMU     Less Than Half Time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,306,190,496,1,,1,10,15,25,38,12,50,147,63,210,,1,1,14,12,26,1,1,2,1,2,3,518,296,
Top 10% Texas   No High School,136,120,256,1,,1,5,6,11,8,5,13,25,22,47,,1,1,2,7,9,1,1,2,1,2,3,179,164,
Yes,170,70,240,,,,5,9,14,30,7,37,122,41,163,,,,12,5,17,,,,,,,339,132,
"First                      No
Generation",242,160,402,1,,1,6,10,16,10,3,13,52,25,77,,1,1,11,11,22,,,,1,,1,323,210,
Unknown,9,4,13,,,,1,1,2,1,1,2,5,2,7,,,,1,,1,1,1,2,,2,2,18,11,
Yes,55,26,81,,,,3,4,7,27,8,35,90,36,126,,,,2,1,3,,,,,,,177,75,
Dorm / Off-         Off-campus campus,110,64,174,,,,3,3,6,12,3,15,30,10,40,,,,8,5,13,,1,1,1,1,2,164,87,
students               Dorm (On-campus),196,126,322,1,,1,7,12,19,26,9,35,117,53,170,,1,1,6,7,13,1,,1,,1,1,354,209,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
