Fall 2012,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,"1st Time in
College","1st Time
Transfer",Readmitted,Continuing,"1st Time
Graduate",Readmitted,Continuing,"1st Time
Graduate",Readmitted,Continuing,"1st Time
Professional",Continuing,,
Education               ATTR,,,,,10,,1,,,,,,11,
BIED,,,,,8,,7,,,,,,15,
CPSY,,,,,,,,5,1,23,,,29,
EDAD,,,,,25,,39,21,1,138,,,224,
EDCI,,,,,80,,137,14,3,160,,,394,
EDHL,134,31,7,568,,,,,,,,,740,
EDIS,189,89,5,330,,,,,,,,,613,
EDKI,172,62,7,503,,,,,,,,,744,
EDSM,49,27,15,205,,,,,,,,,296,
EDTC,,,,,,,5,,,,,,5,
EHRD,,,,,18,1,55,21,1,72,,,168,
EPSY,,,,,9,,28,22,,72,,,131,
GENE,,,,,,,,,,1,,,1,
HEED,,,,,25,,21,7,,17,,,70,
HLTH,,,,240,,,,,,,,,240,
HRDL,19,34,4,83,,,,,,,,,140,
HRDV,,,1,95,,,,,,,,,96,
INST,7,22,4,886,,,,,,,,,919,
KINE,,,3,249,15,,26,11,,49,,,353,
NUTR,,,,,,,3,,,,,,3,
SPED,,,,,23,,8,,,,,,31,
SPMT,,,1,164,42,,30,,,,,,237,
SPSY,,,,,,,,9,,25,,,34,
TCMG,,,,52,,,,,,,,,52,
TCML,10,11,5,58,,,,,,,,,84,
TECR,,,,6,,,,,,,,,6,
USEH,,1,,1,,,,,,,,,2,
Subtotal,580,277,52,"3,440",255,1,360,110,6,557,,,"5,638",
Page 72,,,,,,,,,,,,,,
