College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,12,28,40,,,,,1,1,,,,2,3,5,,,,2,2,2,2,4,1,,1,17,36,53,
TAMU Age Categories,18-21,9,18,27,,,,,1,1,,,,1,1,2,,,,1,1,1,2,3,1,,1,12,23,35,
22-25,,2,5,7,,,,,,,,,,,2,2,,,,1,1,1,,1,,,,3,8,11,
26-30,,1,3,4,,,,,,,,,,1,,1,,,,,,,,,,,,2,3,5,
31-39,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
Sophomore,,5,15,20,,,,,1,1,,,,1,,1,,,,,,1,2,3,1,,1,8,18,26,
Junior,,6,9,15,,,,,,,,,,,3,3,,,,2,2,1,,1,,,,7,14,21,
Senior,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,2,
U5 G6,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Tuition Status,Resident Tuition,12,26,38,,,,,1,1,,,,2,3,5,,,,2,2,1,,1,1,,1,16,32,48,
Non-Resident Tuition,,,1,1,,,,,,,,,,,,,,,,,,,2,2,,,,,3,3,
Tuition Exemption/Waiver,,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,
Residency Status,Texas Resident,12,28,40,,,,,1,1,,,,2,3,5,,,,2,2,1,,1,1,,1,16,34,50,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,1,2,3,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,2,2,,,,,,,,,,,1,1,,,,,,,,,,,,,3,3,
12-14 SCH,,8,17,25,,,,,,,,,,2,,2,,,,1,1,1,1,2,1,,1,12,19,31,
15-17 SCH,,4,9,13,,,,,1,1,,,,,2,2,,,,1,1,1,1,2,,,,5,14,19,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,2,2,,,,,,,,,,,1,1,,,,,,,,,1,,1,1,3,4,
Full-Time,,12,26,38,,,,,1,1,,,,2,2,4,,,,2,2,2,2,4,,,,16,33,49,
"Top 10% Texas High
School",No,10,27,37,,,,,1,1,,,,1,3,4,,,,2,2,2,2,4,1,,1,14,35,49,
Yes,,2,1,3,,,,,,,,,,1,,1,,,,,,,,,,,,3,1,4,
First Generation,No,8,20,28,,,,,,,,,,,1,1,,,,2,2,,,,,,,8,23,31,
Unknown,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,,1,2,2,4,
Yes,,4,8,12,,,,,1,1,,,,2,2,4,,,,,,1,,1,,,,7,11,18,
"Dorm / Off-campus
students",Off-campus,12,28,40,,,,,,,,,,1,3,4,,,,2,2,2,1,3,1,,1,16,34,50,
Dorm (On-campus),,,,,,,,,1,1,,,,1,,1,,,,,,,1,1,,,,1,2,3,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
