Data and Research Services,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Campus (All Campuses),,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,
Fall 2012,Campus,,,,,,,,,,
,College Station,,Distance Ed.,,Galveston,,Qatar,,Total,,
,#,%,#,%,#,%,#,%,#,%,
College               Total,"50,227",100.0%,400,100.0%,"2,015",100.0%,545,100.0%,"53,187",100.0%,
Agriculture,"7,268",14.5%,27,6.8%,10,.5%,,,"7,305",13.7%,
Architecture,"1,924",3.8%,,,,,,,"1,924",3.6%,
Business Admin,"5,284",10.5%,29,7.3%,1,.0%,,,"5,314",10.0%,
Education,"5,638",11.2%,47,11.8%,,,,,"5,685",10.7%,
Engineering,"11,281",22.5%,47,11.8%,,,10,1.8%,"11,338",21.3%,
G. Bush School of Govt,371,.7%,33,8.3%,,,,,404,.8%,
Geosciences,"1,120",2.2%,,,7,.3%,,,"1,127",2.1%,
Liberal Arts,"7,530",15.0%,,,1,.0%,,,"7,531",14.2%,
Science,"3,580",7.1%,217,54.3%,,,,,"3,797",7.1%,
Veterinary Medicine,"2,512",5.0%,,,1,.0%,,,"2,513",4.7%,
General Studies,"3,570",7.1%,,,1,.0%,,,"3,571",6.7%,
Other - Special Populations,149,.3%,,,"1,994",99.0%,535,98.2%,"2,678",5.0%,
Gender               Female,"23,539",46.9%,149,37.3%,792,39.3%,209,38.3%,"24,689",46.4%,
Male,"26,688",53.1%,251,62.8%,"1,223",60.7%,336,61.7%,"28,498",53.6%,
Ethnicity            White Only (NEW),"32,307",64.3%,240,60.0%,"1,545",76.7%,9,1.7%,"34,101",64.1%,
American Indian Only (NEW),142,.3%,,,12,.6%,,,154,.3%,
Asian Only (NEW),"2,343",4.7%,29,7.3%,28,1.4%,3,.6%,"2,403",4.5%,
Black Only + 2 or more/1 Black (NEW),"1,712",3.4%,16,4.0%,53,2.6%,,,"1,781",3.3%,
Hispanic or Latino of any Race (NEW),"8,128",16.2%,12,3.0%,287,14.2%,2,.4%,"8,429",15.8%,
Native Hawaii Only (New),43,.1%,,,7,.3%,,,50,.1%,
2 or More/Excluding Black (NEW),976,1.9%,4,1.0%,54,2.7%,1,.2%,"1,035",1.9%,
International,"4,370",8.7%,86,21.5%,23,1.1%,516,94.7%,"4,995",9.4%,
Unknown or Not Reported,206,.4%,13,3.3%,6,.3%,14,2.6%,239,.4%,
TAMU Age        <18,69,.1%,,,5,.2%,22,4.0%,96,.2%,
Categories         18-21,"30,669",61.1%,,,"1,250",62.0%,384,70.5%,"32,303",60.7%,
22-25,"12,711",25.3%,35,8.8%,480,23.8%,114,20.9%,"13,340",25.1%,
26-30,"3,842",7.6%,90,22.5%,163,8.1%,15,2.8%,"4,110",7.7%,
31-39,"2,069",4.1%,139,34.8%,77,3.8%,9,1.7%,"2,294",4.3%,
40+,867,1.7%,136,34.0%,40,2.0%,1,.2%,"1,044",2.0%,
Enrollment        1st Time in College,"8,139",16.2%,,,512,25.4%,111,20.4%,"8,762",16.5%,
Status                 1st Time Graduate,"2,926",5.8%,128,32.0%,42,2.1%,24,4.4%,"3,120",5.9%,
1st Time Professional,133,.3%,,,,,,,133,.3%,
1st Time Transfer,"1,919",3.8%,,,203,10.1%,5,.9%,"2,127",4.0%,
Readmitted,419,.8%,5,1.3%,36,1.8%,,,460,.9%,
Continuing,"36,691",73.1%,267,66.8%,"1,222",60.6%,405,74.3%,"38,585",72.5%,
SCH                    < 6 SCH,"2,983",5.9%,252,63.0%,56,2.8%,15,2.8%,"3,306",6.2%,
Categories         6-8 SCH,"1,727",3.4%,124,31.0%,48,2.4%,29,5.3%,"1,928",3.6%,
9-11 SCH,"7,214",14.4%,24,6.0%,126,6.3%,74,13.6%,"7,438",14.0%,
12-14 SCH,"22,299",44.4%,,,940,46.7%,193,35.4%,"23,432",44.1%,
15-17 SCH,"14,591",29.1%,,,752,37.3%,222,40.7%,"15,565",29.3%,
>17 SCH,"1,413",2.8%,,,93,4.6%,12,2.2%,"1,518",2.9%,
Ft/Pt:  TAMU   Less Than Half Time,"2,822",5.6%,219,54.8%,53,2.6%,11,2.0%,"3,105",5.8%,
Status                 Half-Time,"3,196",6.4%,159,39.8%,124,6.2%,91,16.7%,"3,570",6.7%,
Full-Time,"44,209",88.0%,22,5.5%,"1,838",91.2%,443,81.3%,"46,512",87.4%,
Top 10% Texas No,"32,320",64.3%,400,100.0%,"1,852",91.9%,541,99.3%,"35,113",66.0%,
High School      Yes,"17,907",35.7%,,,163,8.1%,4,.7%,"18,074",34.0%,
First                    No,"32,489",64.7%,188,47.0%,"1,307",64.9%,10,1.8%,"33,994",63.9%,
Generation        Unknown,"5,076",10.1%,114,28.5%,106,5.3%,532,97.6%,"5,828",11.0%,
Yes,"12,662",25.2%,98,24.5%,602,29.9%,3,.6%,"13,365",25.1%,
Data on College Station Campus is Reported to THECB according to the Reporting Manual,,,,,,,,,,,
"Prepared by DARS, 12/5/2012",,,,,,,,,,,
Page 1,,,,,,,,,,,
