Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Architecture,ARCH,,,,,,,2,2,,,,,2,
,COMG,,,,,,,2,2,,,,,2,
,COSC,,,,5,,5,,,,,,,5,
,COSL,4,2,1,2,,9,,,,,,,9,
,ENDL,4,2,,,,6,,,,,,,6,
,ENDS,,,,1,,1,,,,,,,1,
,LAND,,1,,,,1,,,,,,,1,
,LDEV,,,,,,,4,4,,,,,4,
,URPL,,,,,,,2,2,,,,,2,
,URSC,,1,1,2,,4,,,2,2,,,6,
,USAR,,,,2,,2,,,,,,,2,
,VISL,,1,2,,,3,,,,,,,3,
,VIST,,,,1,,1,,,,,,,1,
,Subtotal,8,7,4,13,,32,10,10,2,2,,,44,
Business Admin,ACCT,,,5,13,,18,4,4,1,1,,,23,
,BHNR,,,,2,,2,,,,,,,2,
,BUAD,15,20,3,,,38,10,10,,,,,48,
,EMBA,,,,,,,9,9,,,,,9,
,FINC,,,3,5,,8,,,,,,,8,
,INFO,,,6,6,,12,,,,,,,12,
,MGMT,,,3,4,,7,2,2,2,2,,,11,
,MISY,,,,,,,3,3,,,,,3,
,MKTG,,,3,4,,7,2,2,,,,,9,
,PMBA,,,,,,,1,1,,,,,1,
,USBU,,2,4,3,,9,,,,,,,9,
,Subtotal,15,22,27,37,,101,31,31,3,3,,,135,
