Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,ATTR,,,,,,,,1,1,,,,,1
,BIED,,,,,,,,10,10,,,,,10
,CPSY,,,,,,,,,,11,11,,,11
,EDAD,,,,,,,,16,16,41,41,,,57
,EDCI,,,,,,,,23,23,20,20,,,43
,EDHL,32,32,41,19,,124,,,,,,,,124
,EDIS,39,24,24,5,,92,,,,,,,,92
,EDKI,33,40,33,19,,125,,,,,,,,125
,EDSM,10,17,17,5,,49,,,,,,,,49
,EHRD,,,,,,,,12,12,13,13,,,25
,EPSY,,,,,,,,2,2,17,17,,,19
,HEED,,,,,,,,14,14,2,2,,,16
,HLTH,,,,38,,38,,,,,,,,38
,HRDL,4,7,11,4,,26,,,,,,,,26
,HRDV,,,1,15,,16,,,,,,,,16
,INST,,3,22,81,,106,,,,,,,,106
,KINE,,,1,45,,46,,4,4,5,5,,,55
,SPED,,,,,,,,4,4,,,,,4
,SPMT,,,4,15,,19,,10,10,,,,,29
,SPSY,,,,,,,,,,8,8,,,8
,TCMG,,,2,17,,19,,,,,,,,19
,TCML,2,1,12,7,,22,,,,,,,,22
,Subtotal,120,124,168,270,,682,,96,96,117,117,,,895
