Data and Research Services,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
(College Station Campus),,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,
Fall 2012,Tuition Status,,,,,,,,
,Resident Tuition,,Non-Resident  Tuition,,Tuition  Exemption/Waiver,,Total,,
Agriculture                     Texas Resident,"6,118",100.0%,11,4.0%,250,28.5%,"6,379",87.8%,
"Non-TX, US Resident",0,.0%,120,43.8%,324,37.0%,444,6.1%,
"Non-TX, Non-US Resident",0,.0%,143,52.2%,302,34.5%,445,6.1%,
Architecture                   Texas Resident,"1,537",100.0%,5,3.6%,52,21.1%,"1,594",82.8%,
"Non-TX, US Resident",0,.0%,29,20.7%,52,21.1%,81,4.2%,
"Non-TX, Non-US Resident",0,.0%,106,75.7%,143,57.9%,249,12.9%,
Business Admin            Texas Resident,"4,703",100.0%,3,1.7%,152,38.0%,"4,858",91.9%,
"Non-TX, US Resident",0,.0%,48,26.5%,106,26.5%,154,2.9%,
"Non-TX, Non-US Resident",0,.0%,130,71.8%,142,35.5%,272,5.1%,
Education                       Texas Resident,"5,082",100.0%,11,7.0%,191,48.0%,"5,284",93.7%,
"Non-TX, US Resident",0,.0%,69,43.7%,103,25.9%,172,3.1%,
"Non-TX, Non-US Resident",0,.0%,78,49.4%,104,26.1%,182,3.2%,
Engineering                    Texas Resident,"8,200",100.0%,20,1.8%,324,16.4%,"8,544",75.7%,
"Non-TX, US Resident",0,.0%,147,13.3%,457,23.2%,604,5.4%,
"Non-TX, Non-US Resident",1,.0%,939,84.9%,"1,193",60.4%,"2,133",18.9%,
G. Bush School of          Texas Resident,210,100.0%,0,.0%,40,25.2%,250,67.4%,
"Govt                                 Non-TX, US Resident",0,.0%,1,50.0%,80,50.3%,81,21.8%,
"Non-TX, Non-US Resident",0,.0%,1,50.0%,39,24.5%,40,10.8%,
Geosciences                    Texas Resident,813,100.0%,1,1.1%,33,15.0%,847,75.6%,
"Non-TX, US Resident",0,.0%,21,24.1%,97,44.1%,118,10.5%,
"Non-TX, Non-US Resident",0,.0%,65,74.7%,90,40.9%,155,13.8%,
Liberal Arts                    Texas Resident,"6,446",100.0%,8,2.7%,287,36.6%,"6,741",89.5%,
"Non-TX, US Resident",0,.0%,126,42.1%,359,45.7%,485,6.4%,
"Non-TX, Non-US Resident",0,.0%,165,55.2%,139,17.7%,304,4.0%,
Science                            Texas Resident,"2,695",100.0%,6,4.5%,123,16.4%,"2,824",78.9%,
"Non-TX, US Resident",0,.0%,47,35.3%,250,33.2%,297,8.3%,
"Non-TX, Non-US Resident",0,.0%,80,60.2%,379,50.4%,459,12.8%,
Veterinary Medicine     Texas Resident,"2,248",100.0%,2,5.7%,112,48.9%,"2,362",94.0%,
"Non-TX, US Resident",0,.0%,23,65.7%,78,34.1%,101,4.0%,
"Non-TX, Non-US Resident",0,.0%,10,28.6%,39,17.0%,49,2.0%,
General Studies             Texas Resident,"3,298",100.0%,2,2.4%,126,67.0%,"3,426",96.0%,
"Non-TX, US Resident",0,.0%,64,76.2%,59,31.4%,123,3.4%,
"Non-TX, Non-US Resident",0,.0%,18,21.4%,3,1.6%,21,.6%,
Other - Special               Texas Resident,22,100.0%,3,2.5%,1,11.1%,26,17.4%,
"Populations                    Non-TX, US Resident",0,.0%,1,.8%,5,55.6%,6,4.0%,
"Non-TX, Non-US Resident",0,.0%,114,96.6%,3,33.3%,117,78.5%,
Total                                Texas Resident,"41,372",100.0%,72,2.8%,"1,691",27.1%,"43,135",85.9%,
"Non-TX, US Resident",0,.0%,696,26.6%,"1,970",31.6%,"2,666",5.3%,
"Non-TX, Non-US Resident",1,.0%,"1,849",70.7%,"2,576",41.3%,"4,426",8.8%,
"Prepared by DARS, 12/5/2012",,,,,,,,,
Page 22,,,,,,,,,
