College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,16,114,130,,1,1,2,19,21,,10,10,3,35,38,,,,3,3,7,47,54,,1,1,28,230,258,
TAMU Age Categories,18-21,14,78,92,,1,1,2,12,14,,2,2,3,24,27,,,,1,1,6,32,38,,1,1,25,151,176,
22-25,,2,19,21,,,,,6,6,,6,6,,10,10,,,,2,2,1,12,13,,,,3,55,58,
26-30,,,9,9,,,,,1,1,,1,1,,,,,,,,,,3,3,,,,,14,14,
31-39,,,6,6,,,,,,,,1,1,,1,1,,,,,,,,,,,,,8,8,
40+,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Classification,Freshman,,3,3,,,,,1,1,,,,,1,1,,,,,,1,1,2,,,,1,6,7,
Sophomore,,8,36,44,,1,1,1,9,10,,3,3,2,13,15,,,,1,1,2,20,22,,1,1,13,84,97,
Junior,,6,59,65,,,,1,7,8,,4,4,1,18,19,,,,1,1,2,22,24,,,,10,111,121,
Senior,,2,12,14,,,,,2,2,,3,3,,3,3,,,,,,2,4,6,,,,4,24,28,
U5 G6,,,4,4,,,,,,,,,,,,,,,,1,1,,,,,,,,5,5,
Tuition Status,Resident Tuition,16,101,117,,1,1,1,18,19,,8,8,3,34,37,,,,3,3,,3,3,,,,20,168,188,
Non-Resident Tuition,,,3,3,,,,,1,1,,,,,1,1,,,,,,6,36,42,,1,1,6,42,48,
Tuition Exemption/Waiver,,,10,10,,,,1,,1,,2,2,,,,,,,,,1,8,9,,,,2,20,22,
Residency Status,Texas Resident,16,108,124,,1,1,2,18,20,,8,8,3,35,38,,,,3,3,,2,2,,,,21,175,196,
"Non-TX, US Resident",,,6,6,,,,,1,1,,2,2,,,,,,,,,,,,,1,1,,10,10,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,7,45,52,,,,7,45,52,
SCH Categories,< 6 SCH,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,
6-8 SCH,,,4,4,,,,,,,,1,1,,1,1,,,,,,,,,,,,,6,6,
9-11 SCH,,,7,7,,,,,,,,1,1,,1,1,,,,1,1,,,,,,,,10,10,
12-14 SCH,,13,77,90,,1,1,2,14,16,,6,6,2,25,27,,,,2,2,4,26,30,,1,1,21,152,173,
15-17 SCH,,3,25,28,,,,,4,4,,1,1,1,8,9,,,,,,1,18,19,,,,5,56,61,
>17 SCH,,,1,1,,,,,1,1,,,,,,,,,,,,2,3,5,,,,2,5,7,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,1,1,,,,,,,,,1,2,3,,,,1,3,4,
Half-Time,,,11,11,,,,,,,,2,2,,2,2,,,,1,1,2,5,7,,,,2,21,23,
Full-Time,,16,103,119,,1,1,2,19,21,,7,7,3,33,36,,,,2,2,4,40,44,,1,1,25,206,231,
"Top 10% Texas High
School",No,12,97,109,,1,1,1,17,18,,9,9,2,32,34,,,,3,3,7,47,54,,1,1,22,207,229,
Yes,,4,17,21,,,,1,2,3,,1,1,1,3,4,,,,,,,,,,,,6,23,29,
First Generation,No,11,79,90,,1,1,1,10,11,,5,5,2,16,18,,,,3,3,,1,1,,1,1,14,116,130,
Unknown,,,4,4,,,,,1,1,,,,,,,,,,,,7,45,52,,,,7,50,57,
Yes,,5,31,36,,,,1,8,9,,5,5,1,19,20,,,,,,,1,1,,,,7,64,71,
"Dorm / Off-campus
students",Off-campus,16,106,122,,1,1,1,15,16,,8,8,2,33,35,,,,2,2,6,38,44,,1,1,25,204,229,
Dorm (On-campus),,,8,8,,,,1,4,5,,2,2,1,2,3,,,,1,1,1,9,10,,,,3,26,29,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
