Data and Research Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,55,69,124,,,,3,5,8,3,4,7,26,34,60,,,,2,2,4,,1,1,1,,1,90,115,
"TAMU Age           <18
Categories",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,
18-21,55,69,124,,,,3,4,7,3,4,7,26,34,60,,,,2,2,4,,1,1,1,,1,90,114,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification      Freshman,54,67,121,,,,3,5,8,3,4,7,26,31,57,,,,2,2,4,,1,1,1,,1,89,110,
Sophomore,1,2,3,,,,,,,,,,,3,3,,,,,,,,,,,,,1,5,
Tuition Status     Resident Tuition,51,63,114,,,,3,5,8,2,4,6,25,33,58,,,,2,2,4,,,,1,,1,84,107,
Non-Resident Tuition,,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,
Tuition Exemption/Waiver,4,4,8,,,,,,,1,,1,1,1,2,,,,,,,,,,,,,6,5,
Residency            Texas Resident Status,54,66,120,,,,3,5,8,3,4,7,26,34,60,,,,2,2,4,,,,1,,1,89,111,
"Non-TX, US Resident",1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,1,3,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,29,28,57,,,,2,1,3,3,1,4,14,15,29,,,,,2,2,,1,1,,,,48,48,
15-17 SCH,26,41,67,,,,1,4,5,,3,3,12,19,31,,,,2,,2,,,,1,,1,42,67,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU     Less Than Half Time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,55,69,124,,,,3,5,8,3,4,7,26,34,60,,,,2,2,4,,1,1,1,,1,90,115,
Top 10% Texas   No High School,12,31,43,,,,1,2,3,1,1,2,5,2,7,,,,1,2,3,,1,1,,,,20,39,
Yes,43,38,81,,,,2,3,5,2,3,5,21,32,53,,,,1,,1,,,,1,,1,70,76,
"First                      No
Generation",42,57,99,,,,1,4,5,1,2,3,6,5,11,,,,1,2,3,,,,,,,51,70,
Unknown,2,2,4,,,,,,,,1,1,1,4,5,,,,,,,,1,1,1,,1,4,8,
Yes,11,10,21,,,,2,1,3,2,1,3,19,25,44,,,,1,,1,,,,,,,35,37,
Dorm / Off-         Off-campus campus,12,23,35,,,,,4,4,,,,3,5,8,,,,,,,,1,1,1,,1,16,33,
students               Dorm (On-campus),43,46,89,,,,3,1,4,3,4,7,23,29,52,,,,2,2,4,,,,,,,74,82,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
