Data and Research Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,222,186,408,2,3,5,12,9,21,9,4,13,50,43,93,1,1,7,12,19,9,5,14,,,,312,262,574,
TAMU Age Categories,18-21,211,152,363,1,3,4,11,6,17,7,4,11,43,36,79,1,1,7,9,16,5,1,6,,,,286,211,497,
22-25,,5,15,20,1,,1,1,3,4,2,,2,5,5,10,,,,2,2,4,4,8,,,,18,29,47,
26-30,,4,10,14,,,,,,,,,,1,,1,,,,1,1,,,,,,,5,11,16,
31-39,,1,6,7,,,,,,,,,,1,2,3,,,,,,,,,,,,2,8,10,
40+,,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
Classification,Freshman,31,33,64,,,,2,1,3,2,1,3,5,7,12,,,2,3,5,,,,,,,42,45,87,
Sophomore,,139,109,248,1,3,4,7,6,13,6,3,9,35,23,58,,,3,7,10,3,2,5,,,,194,153,347,
Junior,,50,41,91,1,,1,2,1,3,1,,1,10,11,21,1,1,2,2,4,6,2,8,,,,73,57,130,
Senior,,2,3,5,,,,1,1,2,,,,,2,2,,,,,,,1,1,,,,3,7,10,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,209,178,387,2,3,5,12,9,21,5,4,9,46,38,84,1,1,7,12,19,1,1,2,,,,283,245,528,
Non-Resident Tuition,,3,2,5,,,,,,,2,,2,,1,1,,,,,,7,4,11,,,,12,7,19,
Tuition Exemption/Waiver,,10,6,16,,,,,,,2,,2,4,4,8,,,,,,1,,1,,,,17,10,27,
Residency Status,Texas Resident,215,182,397,2,3,5,12,9,21,7,4,11,49,42,91,1,1,7,12,19,1,1,2,,,,294,253,547,
"Non-TX, US Resident",,7,4,11,,,,,,,2,,2,1,1,2,,,,,,,,,,,,10,5,15,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,8,4,12,,,,8,4,12,
SCH Categories,< 6 SCH,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,2,1,3,
6-8 SCH,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,2,
9-11 SCH,,1,2,3,,,,,,,1,,1,1,,1,,,,1,1,,,,,,,3,3,6,
12-14 SCH,,108,83,191,1,2,3,3,6,9,5,3,8,24,19,43,,,2,7,9,5,2,7,,,,148,122,270,
15-17 SCH,,109,100,209,1,1,2,8,3,11,3,1,4,23,22,45,1,1,5,3,8,2,3,5,,,,152,133,285,
>17 SCH,,3,1,4,,,,1,,1,,,,,,,,,,1,1,2,,2,,,,6,2,8,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,2,1,3,,,,,,4,1,5,,,,6,2,8,
Half-Time,,2,2,4,,,,1,,1,1,,1,1,1,2,,,,1,1,,1,1,,,,5,5,10,
Full-Time,,220,184,404,2,3,5,11,9,20,8,4,12,47,41,88,1,1,7,11,18,5,3,8,,,,301,255,556,
"Top 10% Texas High
School",No,206,176,382,1,3,4,10,9,19,9,3,12,45,39,84,,,7,11,18,9,5,14,,,,287,246,533,
Yes,,16,10,26,1,,1,2,,2,,1,1,5,4,9,1,1,,1,1,,,,,,,25,16,41,
First Generation,No,160,134,294,2,2,4,8,2,10,6,4,10,29,27,56,1,1,5,5,10,1,1,2,,,,212,175,387,
Unknown,,4,4,8,,1,1,1,1,2,,,,,,,,,,,,8,4,12,,,,13,10,23,
Yes,,58,48,106,,,,3,6,9,3,,3,21,16,37,,,2,7,9,,,,,,,87,77,164,
"Dorm / Off-campus
students",Off-campus,215,169,384,2,3,5,12,7,19,8,3,11,49,39,88,1,1,7,10,17,7,4,11,,,,301,235,536,
Dorm (On-campus),,7,17,24,,,,,2,2,1,1,2,1,4,5,,,,2,2,2,1,3,,,,11,27,38,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
