Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBL,1,,,,,1,,,,,,,1,
,AGBU,,,,2,,2,,,,,,,2,
,AGCJ,1,3,5,4,,13,,,,,,,13,
,AGEC,,,,1,,1,,,1,1,,,2,
,AGLS,4,1,3,,,8,,,,,,,8,
,AGRO,1,1,,,,2,,,,,,,2,
,AGSM,1,,,,,1,,,,,,,1,
,ALEC,,,,,,,2,2,8,8,,,10,
,ALED,14,8,11,24,,57,,,,,,,57,
,ANBR,,,,,,,1,1,,,,,1,
,ANSC,2,2,1,4,,9,1,1,1,1,,,11,
,BAEN,1,,1,3,,5,1,1,2,2,,,8,
,BESC,1,,4,6,,11,,,,,,,11,
,BICH,7,2,4,5,,18,,,1,1,,,19,
,ENTO,,1,1,,,2,,,1,1,,,3,
,FIVL,6,1,,,,7,,,,,,,7,
,FORS,,,,,,,,,1,1,,,1,
,FSTC,1,,3,3,,7,2,2,,,,,9,
,GENE,3,2,,,,5,,,1,1,,,6,
,MEPS,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,1,1,,,,,1,
,NUSC,,3,5,7,,15,,,,,,,15,
,NUTR,,,,,,,1,1,1,1,,,2,
,PLPA,,,,,,,,,1,1,,,1,
,POSC,,1,,3,,4,,,1,1,,,5,
,RENR,,1,1,,,2,,,,,,,2,
,RLEM,,,,,,,,,1,1,,,1,
,RPTS,1,2,10,5,,18,2,2,4,4,,,24,
,SPSA,,1,,,,1,,,,,,,1,
,TOXI,,,,,,,1,1,,,,,1,
,USAL,,,6,5,,11,,,,,,,11,
,WFSC,,1,1,5,,7,1,1,2,2,,,10,
,WMHS,,,,,,,1,1,,,,,1,
,Subtotal,44,30,56,77,,207,14,14,27,27,,,248,
