Fall 2012,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Engineering         AERL,36,158,,,1,12,,4,12,69,,,2,13,1,5,,,52,261,313,
AERO,47,279,,2,,16,2,3,10,50,,,1,6,5,43,1,4,66,403,469,
BIOT,4,3,,,,,1,,,2,,,,,11,5,1,,17,10,27,
BMEL,51,52,,,8,9,1,,23,18,,,2,4,,1,,,85,84,169,
BMEN,83,133,,1,13,24,2,5,17,25,,,4,7,12,25,1,3,132,223,355,
CECL,11,119,,,3,17,3,4,9,53,1,,1,4,1,1,,,29,198,227,
CECN,11,88,1,1,2,14,1,4,3,16,,,,1,12,67,,,30,191,221,
CEEL,8,59,,,,12,,3,5,32,,,,1,1,5,,1,14,113,127,
CEEN,5,64,,,4,7,,5,1,13,,1,,4,9,81,,1,19,176,195,
CHEL,40,85,1,,2,6,1,5,11,18,,,4,4,,2,,,59,120,179,
CHEN,89,229,,1,18,39,4,12,27,42,,1,4,7,29,71,1,3,172,405,577,
CPSC,17,190,1,,5,22,4,11,3,32,,1,1,5,23,115,1,4,55,380,435,
CPSL,12,120,,1,2,12,,10,6,39,,,2,2,1,8,,1,23,193,216,
CVEL,55,126,,,4,5,2,4,13,44,,,,4,,2,,,74,185,259,
CVEN,139,396,,1,5,25,3,13,37,78,,1,1,4,60,153,1,1,246,672,918,
ELEL,32,200,,1,7,28,2,10,15,68,,,2,9,5,20,,1,63,337,400,
ELEN,34,245,,,13,74,4,10,12,94,,2,2,14,58,335,,5,123,779,902,
ENGR,,2,,,1,2,,,,1,,,,,,,,,1,5,6,
ENSM,,7,,,,,2,1,1,1,,,,,1,,,,4,9,13,
ENTC,8,153,,,,13,2,9,5,45,,,,6,,3,,,15,229,244,
ENTL,6,106,,,3,10,1,10,6,55,,,,1,1,5,,1,17,188,205,
HLPH,3,5,,,,,1,1,,,,,,,1,,,,5,6,11,
IDIL,19,89,,1,1,1,,2,4,10,,,1,5,,1,,,25,109,134,
IDIS,47,300,,1,3,6,6,5,11,55,,,1,4,1,7,,1,69,379,448,
INEL,31,71,,1,2,2,,4,8,32,,,,2,4,12,,,45,124,169,
INEN,43,268,1,,8,32,6,15,24,84,,2,4,7,67,122,2,3,155,533,688,
ITDE,,,,,1,,1,,,,,,,,,,,,2,,2,
MEEL,34,244,,1,1,9,2,5,15,53,,,2,9,1,5,,1,55,327,382,
MEEN,110,582,1,3,9,40,5,14,24,90,,1,1,9,55,220,,4,205,963,"1,168",
MSEN,5,13,,,2,5,1,,,1,,,,,21,51,,1,29,71,100,
NUEL,10,45,,,1,7,,2,4,18,,,2,4,,2,,,17,78,95,
NUEN,24,162,,,1,9,2,6,4,31,,,,4,4,40,1,1,36,253,289,
OCEL,9,15,,1,,,,1,4,1,,,,1,,4,,,13,23,36,
OCEN,9,58,,1,1,6,1,1,3,14,,2,,4,5,43,,,19,129,148,
PETE,59,337,,3,9,33,5,15,15,62,,,2,6,60,180,2,7,152,643,795,
PETL,36,158,,2,1,10,,7,5,31,,1,3,6,1,15,,,46,230,276,
RHEL,8,5,,,,2,1,,3,3,,,,,,,,,12,10,22,
RHEN,20,8,,1,2,2,,1,3,4,1,,,3,,1,,,26,20,46,
SENG,,3,,,,1,,1,,,,,,,3,3,1,,4,8,12,
USEN,,1,,,,,,,,1,,,,,,,,,,2,2,
WMHS,,1,,,,,,,,,,,,,,,,,,1,1,
Subtotal,"1,155","5,179",5,23,133,512,66,203,343,"1,285",2,12,42,160,453,"1,653",12,43,"2,211","9,070","11,281",
Page 86,,,,,,,,,,,,,,,,,,,,,,
