Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"4,370",100.0%,843,100.0%,71,100.0%,,,"5,284",100.0%,
Female,"2,121",48.5%,329,39.0%,18,25.4%,,,"2,468",46.7%,
Male,"2,249",51.5%,514,61.0%,53,74.6%,,,"2,816",53.3%,
Ethnicity                  White Only (NEW),"3,323",76.0%,494,58.6%,30,42.3%,,,"3,847",72.8%,
American Indian Only (NEW),7,.2%,1,.1%,,,,,8,.2%,
Asian Only (NEW),212,4.9%,51,6.0%,5,7.0%,,,268,5.1%,
Black Only + 2 or more/1 Black (NEW),101,2.3%,31,3.7%,3,4.2%,,,135,2.6%,
Hispanic or Latino of any Race (NEW),591,13.5%,50,5.9%,2,2.8%,,,643,12.2%,
Native Hawaii Only (New),3,.1%,,,,,,,3,.1%,
2 or More/Excluding Black (NEW),81,1.9%,3,.4%,,,,,84,1.6%,
International,44,1.0%,197,23.4%,28,39.4%,,,269,5.1%,
Unknown or Not Reported,8,.2%,16,1.9%,3,4.2%,,,27,.5%,
TAMU Age               <18,6,.1%,,,,,,,6,.1%,
Categories                18-21,"3,574",81.8%,19,2.3%,,,,,"3,593",68.0%,
22-25,749,17.1%,483,57.3%,6,8.5%,,,"1,238",23.4%,
26-30,18,.4%,195,23.1%,33,46.5%,,,246,4.7%,
31-39,13,.3%,83,9.8%,27,38.0%,,,123,2.3%,
40+,10,.2%,63,7.5%,5,7.0%,,,78,1.5%,
Enrollment Status  1st Time in College,776,17.8%,,,,,,,776,14.7%,
1st Time Graduate,,,487,57.8%,13,18.3%,,,500,9.5%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,91,2.1%,,,,,,,91,1.7%,
Readmitted,11,.3%,,,,,,,11,.2%,
Continuing,"3,492",79.9%,356,42.2%,58,81.7%,,,"3,906",73.9%,
Tuition Status         Resident Tuition,"4,116",94.2%,577,68.4%,10,14.1%,,,"4,703",89.0%,
Non-Resident Tuition,71,1.6%,109,12.9%,1,1.4%,,,181,3.4%,
Tuition Exemption/Waiver,183,4.2%,157,18.6%,60,84.5%,,,400,7.6%,
Residency Status    Texas Resident,"4,245",97.1%,598,70.9%,15,21.1%,,,"4,858",91.9%,
"Non-TX, US Resident",81,1.9%,46,5.5%,27,38.0%,,,154,2.9%,
"Non-TX, Non-US Resident",44,1.0%,199,23.6%,29,40.8%,,,272,5.1%,
SCH Categories       < 6 SCH,29,.7%,8,.9%,,,,,37,.7%,
6-8 SCH,66,1.5%,5,.6%,,,,,71,1.3%,
9-11 SCH,95,2.2%,245,29.1%,68,95.8%,,,408,7.7%,
12-14 SCH,"2,643",60.5%,365,43.3%,3,4.2%,,,"3,011",57.0%,
15-17 SCH,"1,486",34.0%,149,17.7%,,,,,"1,635",30.9%,
>17 SCH,51,1.2%,71,8.4%,,,,,122,2.3%,
Ft/Pt:  TAMU          Less Than Half Time,29,.7%,8,.9%,,,,,37,.7%,
Status                        Half-Time,164,3.8%,5,.6%,,,,,169,3.2%,
Full-Time,"4,177",95.6%,830,98.5%,71,100.0%,,,"5,078",96.1%,
Top 10% Texas        No,"2,114",48.4%,811,96.2%,68,95.8%,,,"2,993",56.6%,
High School             Yes,"2,256",51.6%,32,3.8%,3,4.2%,,,"2,291",43.4%,
First Generation     No,"3,392",77.6%,62,7.4%,13,18.3%,,,"3,467",65.6%,
Unknown,106,2.4%,769,91.2%,58,81.7%,,,933,17.7%,
Yes,872,20.0%,12,1.4%,,,,,884,16.7%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 9,,,,,,,,,,,
