Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"1,797",100.0%,89,100.0%,99,100.0%,527,100.0%,"2,512",100.0%,
Female,"1,263",70.3%,55,61.8%,62,62.6%,406,77.0%,"1,786",71.1%,
Male,534,29.7%,34,38.2%,37,37.4%,121,23.0%,726,28.9%,
Ethnicity                  White Only (NEW),"1,102",61.3%,56,62.9%,50,50.5%,450,85.4%,"1,658",66.0%,
American Indian Only (NEW),3,.2%,,,,,3,.6%,6,.2%,
Asian Only (NEW),176,9.8%,7,7.9%,4,4.0%,13,2.5%,200,8.0%,
Black Only + 2 or more/1 Black (NEW),76,4.2%,4,4.5%,1,1.0%,4,.8%,85,3.4%,
Hispanic or Latino of any Race (NEW),385,21.4%,10,11.2%,6,6.1%,46,8.7%,447,17.8%,
Native Hawaii Only (New),1,.1%,,,,,,,1,.0%,
2 or More/Excluding Black (NEW),48,2.7%,2,2.2%,1,1.0%,2,.4%,53,2.1%,
International,3,.2%,10,11.2%,36,36.4%,,,49,2.0%,
Unknown or Not Reported,3,.2%,,,1,1.0%,9,1.7%,13,.5%,
TAMU Age               <18,8,.4%,,,,,,,8,.3%,
Categories                18-21,"1,643",91.4%,2,2.2%,,,18,3.4%,"1,663",66.2%,
22-25,142,7.9%,59,66.3%,16,16.2%,324,61.5%,541,21.5%,
26-30,2,.1%,15,16.9%,42,42.4%,152,28.8%,211,8.4%,
31-39,1,.1%,11,12.4%,35,35.4%,29,5.5%,76,3.0%,
40+,1,.1%,2,2.2%,6,6.1%,4,.8%,13,.5%,
Enrollment Status  1st Time in College,705,39.2%,,,,,,,705,28.1%,
1st Time Graduate,,,45,50.6%,17,17.2%,,,62,2.5%,
1st Time Professional,,,,,,,133,25.2%,133,5.3%,
1st Time Transfer,13,.7%,,,,,,,13,.5%,
Readmitted,7,.4%,,,,,,,7,.3%,
Continuing,"1,072",59.7%,44,49.4%,82,82.8%,394,74.8%,"1,592",63.4%,
Tuition Status         Resident Tuition,"1,662",92.5%,66,74.2%,33,33.3%,487,92.4%,"2,248",89.5%,
Non-Resident Tuition,20,1.1%,9,10.1%,2,2.0%,4,.8%,35,1.4%,
Tuition Exemption/Waiver,115,6.4%,14,15.7%,64,64.6%,36,6.8%,229,9.1%,
Residency Status    Texas Resident,"1,759",97.9%,69,77.5%,37,37.4%,497,94.3%,"2,362",94.0%,
"Non-TX, US Resident",35,1.9%,10,11.2%,26,26.3%,30,5.7%,101,4.0%,
"Non-TX, Non-US Resident",3,.2%,10,11.2%,36,36.4%,,,49,2.0%,
SCH Categories       < 6 SCH,4,.2%,15,16.9%,19,19.2%,,,38,1.5%,
6-8 SCH,21,1.2%,6,6.7%,3,3.0%,,,30,1.2%,
9-11 SCH,24,1.3%,54,60.7%,77,77.8%,,,155,6.2%,
12-14 SCH,"1,202",66.9%,11,12.4%,,,,,"1,213",48.3%,
15-17 SCH,537,29.9%,3,3.4%,,,1,.2%,541,21.5%,
>17 SCH,9,.5%,,,,,526,99.8%,535,21.3%,
Ft/Pt:  TAMU          Less Than Half Time,4,.2%,13,14.6%,7,7.1%,,,24,1.0%,
Status                        Half-Time,45,2.5%,8,9.0%,15,15.2%,,,68,2.7%,
Full-Time,"1,748",97.3%,68,76.4%,77,77.8%,527,100.0%,"2,420",96.3%,
Top 10% Texas        No,548,30.5%,85,95.5%,94,94.9%,500,94.9%,"1,227",48.8%,
High School             Yes,"1,249",69.5%,4,4.5%,5,5.1%,27,5.1%,"1,285",51.2%,
First Generation     No,"1,249",69.5%,56,62.9%,59,59.6%,53,10.1%,"1,417",56.4%,
Unknown,27,1.5%,7,7.9%,21,21.2%,452,85.8%,507,20.2%,
Yes,521,29.0%,26,29.2%,19,19.2%,22,4.2%,588,23.4%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 16,,,,,,,,,,,
