Fall 2012,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
COMG,10,5,,,,2,1,1,,3,,,,,10,30,,,21,41,62,
COSC,20,260,,3,2,2,,5,12,41,,,1,4,,2,,,35,317,352,
COSL,9,177,,,1,4,3,6,8,42,,,,5,,2,,,21,236,257,
ENDL,64,70,,,7,4,3,3,35,24,,,1,1,1,2,1,,112,104,216,
ENDS,50,49,,,4,1,,1,22,14,,,3,2,1,,,,80,67,147,
LAND,23,23,,,2,,,1,6,9,,,1,4,30,5,,,62,42,104,
LANL,9,14,,,,1,,,8,10,,,,,,,,,17,25,42,
LDEV,3,9,,,,,1,3,1,1,,,,,3,5,,,8,18,26,
LPDV,,3,,,,,,,,1,,,,,1,3,,,1,7,8,
URPL,9,14,,,,,2,,1,6,,,,1,14,6,,1,26,28,54,
URSC,12,35,,,1,3,2,4,12,18,1,,1,,20,23,,,49,83,132,
USAR,11,20,,,,1,,2,3,13,,,,1,,,,,14,37,51,
VISL,66,35,,,6,2,,3,14,14,,,1,,,,1,,88,54,142,
VIST,49,68,1,,5,6,,1,8,12,,,2,2,4,12,1,,70,101,171,
Subtotal,361,814,2,3,31,29,13,31,137,216,1,,10,20,119,130,5,2,679,"1,245","1,924",
Business Admin  ACCT,328,307,,,20,28,14,9,54,40,,,8,3,19,8,1,3,444,398,842,
AGBU,3,1,,,,,,,,,,,,1,,,,,3,2,5,
BHNR,57,55,,1,2,4,,2,9,6,,,,,,,,,68,68,136,
BUAD,677,720,2,1,51,52,22,26,126,124,,1,27,12,16,37,,6,921,979,"1,900",
BUAG,6,8,,,,,,,5,1,,,,,,,,,11,9,20,
EMBA,9,50,,1,1,7,1,8,4,11,,,,,,2,,8,15,87,102,
FINC,145,328,,1,3,30,3,5,31,51,,,3,1,6,13,,2,191,431,622,
INFO,117,216,1,1,16,15,6,6,24,49,,,3,5,2,14,1,,170,306,476,
MGMT,143,105,,,8,8,7,4,23,20,,,1,2,6,2,2,,190,141,331,
MISY,25,22,,,2,3,1,2,3,1,,,,,40,89,,,71,117,188,
MKTG,247,85,,,5,2,5,4,28,9,,2,9,4,6,7,1,1,301,114,415,
MLER,10,41,,,,1,,,,4,,,,,1,,,,11,46,57,
PMBA,6,19,,,1,7,,1,,,,,,,,,,2,7,29,36,
USBU,46,71,,,1,1,4,5,10,10,,,3,2,1,,,,65,89,154,
Subtotal,"1,819","2,028",3,5,110,158,63,72,317,326,,3,54,30,97,172,5,22,"2,468","2,816","5,284",
Page 84,,,,,,,,,,,,,,,,,,,,,,
