Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,CPSY,,,,,,,,,2,2,,,2
,EDAD,,,,,,,3,3,4,4,,,7
,EDCI,,,,,,,6,6,1,1,,,7
,EDHL,5,8,10,3,,26,,,,,,,26
,EDIS,1,,2,1,,4,,,,,,,4
,EDKI,3,5,5,2,,15,,,,,,,15
,EDSM,,2,,,,2,,,,,,,2
,EHRD,,,,,,,1,1,7,7,,,8
,EPSY,,,,,,,,,3,3,,,3
,HEED,,,,,,,3,3,3,3,,,6
,HLTH,,,,7,,7,,,,,,,7
,HRDL,,2,4,1,,7,,,,,,,7
,HRDV,,,,1,,1,,,,,,,1
,INST,1,,1,4,,6,,,,,,,6
,KINE,,,,5,,5,2,2,1,1,,,8
,NUTR,,,,,,,1,1,,,,,1
,SPED,,,,,,,1,1,,,,,1
,SPMT,,,,1,,1,1,1,,,,,2
,SPSY,,,,,,,,,3,3,,,3
,TCMG,,,1,5,,6,,,,,,,6
,TCML,,,2,1,,3,,,,,,,3
,Subtotal,10,17,25,31,,83,18,18,24,24,,,125
