Fall 2012,Undergraduate,,,,Masters,,,Doctoral,,,Professional,,Total,
,"1st Time in
College","1st Time
Transfer",Readmitted,Continuing,"1st Time
Graduate",Readmitted,Continuing,"1st Time
Graduate",Readmitted,Continuing,"1st Time
Professional",Continuing,,
Agriculture             ABME,,,,,,,,2,,,,,2,
ADEV,,,,,11,1,9,,,,,,21,
AGBL,35,42,,76,,,,,,,,,153,
AGBU,,,1,146,13,,30,,,,,,190,
AGCJ,13,31,7,258,,,,,,,,,309,
AGEC,10,12,6,249,13,,19,9,,51,,,369,
AGLS,6,24,11,80,,,,,,,,,121,
AGRO,1,9,8,112,2,,14,1,,8,,,155,
AGSC,8,8,1,101,,,,,,,,,118,
AGSM,10,7,6,121,2,,2,,,,,,148,
ALEC,,,,,21,1,49,4,,56,,,131,
ALED,28,70,41,444,,,,,,,,,583,
ANBR,,,,,1,,6,,,5,,,12,
ANSC,171,53,7,653,12,,36,7,,17,,,956,
BAEN,64,10,1,152,13,,27,5,,38,,,310,
BESC,10,6,5,201,,,,,,,,,222,
BICH,70,7,1,150,,,5,24,,82,,,339,
BIOT,,,,,,,8,,,,,,8,
CDEV,3,3,,24,,,,,,,,,30,
ECOR,5,4,2,17,,,,,,,,,28,
ENST,4,5,2,32,,,,,,,,,43,
ENTO,1,2,1,66,4,,9,10,,32,,,125,
FISC,,,,,,,2,,,,,,2,
FIVL,78,,,23,,,,,,,,,101,
FIVS,,,,36,,,,,,,,,36,
FORS,,6,1,15,1,,6,,,10,,,39,
FSTC,11,3,2,110,7,1,20,2,,13,,,169,
GENE,25,1,,73,1,,5,9,,27,,,141,
HORT,10,18,1,146,7,,9,2,,15,,,208,
MEPS,,,,,1,,3,2,,19,,,25,
NRDV,,,,,2,,25,,,,,,27,
NUSC,75,33,6,382,,,,,,,,,496,
NUTR,,,,,7,,13,3,,12,,,35,
PLBR,,,,,3,,13,5,,25,,,46,
PLPA,,,,,,,4,5,,21,,,30,
POSC,10,19,6,108,2,,16,1,,6,,,168,
PREP,,,,,3,,4,1,,6,,,14,
PSSC,,,,2,,,,,,,,,2,
RENR,2,10,4,49,,,,,,,,,65,
RLEM,5,11,,46,4,,12,2,,26,,,106,
RPTS,8,39,8,352,8,,16,9,,36,,,476,
RRDV,,,,,2,,,,,,,,2,
SOSC,,,,,2,,5,6,,12,,,25,
SPSA,,,2,26,,,,,,,,,28,
TOXI,,,,,,,1,,,2,,,3,
USAL,,,1,99,,,,,,,,,100,
WFSC,41,21,5,333,14,,34,7,,63,,,518,
WISC,,,,,4,,11,,,,,,15,
WMHS,,,,,,,13,,,5,,,18,
Subtotal,704,454,136,"4,682",160,3,426,116,,587,,,"7,268",
Page 70,,,,,,,,,,,,,,
