College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,2,5,,,,1,,1,,,,5,1,6,,,1,,1,,,,,,,10,3,13,
TAMU Age Categories,18-21,1,2,3,,,,1,,1,,,,4,1,5,,,1,,1,,,,,,,7,3,10,
22-25,,2,,2,,,,,,,,,,1,,1,,,,,,,,,,,,3,,3,
26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Junior,,2,1,3,,,,1,,1,,,,5,,5,,,,,,,,,,,,8,1,9,
Senior,,1,,1,,,,,,,,,,,1,1,,,1,,1,,,,,,,2,1,3,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,3,2,5,,,,1,,1,,,,5,1,6,,,1,,1,,,,,,,10,3,13,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,3,2,5,,,,1,,1,,,,5,1,6,,,1,,1,,,,,,,10,3,13,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,1,1,2,,,,,,,,,,1,,1,,,1,,1,,,,,,,3,1,4,
15-17 SCH,,1,1,2,,,,1,,1,,,,4,1,5,,,,,,,,,,,,6,2,8,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Full-Time,,2,2,4,,,,1,,1,,,,5,1,6,,,1,,1,,,,,,,9,3,12,
"Top 10% Texas High
School",No,3,2,5,,,,1,,1,,,,4,1,5,,,,,,,,,,,,8,3,11,
Yes,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,2,,2,
First Generation,No,1,2,3,,,,1,,1,,,,1,,1,,,,,,,,,,,,3,2,5,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,2,,2,,,,,,,,,,4,1,5,,,1,,1,,,,,,,7,1,8,
"Dorm / Off-campus
students",Off-campus,3,2,5,,,,1,,1,,,,4,1,5,,,1,,1,,,,,,,9,3,12,
Dorm (On-campus),,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
