Demographic Summary for Blinn TEAM Students,,,,,
(College Station Campus),,,,,
Fall 2012,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,"1,134",161,1,"1,296",
Gender                          Female,521,84,1,606,
Male,613,77,,690,
Ethnicity                      White Only (NEW),872,122,1,995,
American Indian Only (NEW),6,,,6,
Asian Only (NEW),33,2,,35,
Black Only + 2 or more/1 Black (NEW),21,1,,22,
Hispanic or Latino of any Race (NEW),170,28,,198,
Native Hawaii Only (New),2,,,2,
2 or More/Excluding Black (NEW),27,8,,35,
Unknown or Not Reported,3,,,3,
TAMU Age                   <18,5,,,5,
Categories                    18-21,"1,128",161,1,"1,290",
22-25,1,,,1,
Enrollment Status      1st Time in College,913,27,,940,
Continuing,221,134,1,356,
Tuition Status             Resident Tuition,"1,061",149,1,"1,211",
Non-Resident Tuition,21,2,,23,
Tuition Exemption/Waiver,52,10,,62,
Residency Status        Texas Resident,"1,094",158,1,"1,253",
"Non-TX, US Resident",37,3,,40,
"Non-TX, Non-US Resident",3,,,3,
SCH Categories           < 6 SCH,"1,074",138,,"1,212",
6-8 SCH,60,23,1,84,
Ft/Pt: TAMU Status Less Than Half Time,"1,074",138,,"1,212",
Half-Time,60,23,1,84,
First Generation         No,864,127,1,992,
Unknown,14,3,,17,
Yes,256,31,,287,
"Prepared by DARS, 07 Dec 12",,,,,
Page 170,,,,,
