Data and Research Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,33,17,50,,,,3,8,11,1,1,2,6,11,17,,,2,2,4,,3,3,,,,45,42,87,
TAMU Age Categories,18-21,25,10,35,,,,3,8,11,1,,1,6,8,14,,,1,1,2,,1,1,,,,36,28,64,
22-25,,6,6,12,,,,,,,,,,,2,2,,,1,1,2,,1,1,,,,7,10,17,
26-30,,2,,2,,,,,,,,1,1,,1,1,,,,,,,,,,,,2,2,4,
31-39,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,2,2,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,1,1,2,,,,,1,1,,,,,1,1,,,,,,,,,,,,1,3,4,
Sophomore,,11,8,19,,,,1,6,7,,,,2,5,7,,,,1,1,,1,1,,,,14,21,35,
Junior,,16,4,20,,,,1,1,2,,1,1,4,4,8,,,2,,2,,1,1,,,,23,11,34,
Senior,,3,3,6,,,,1,,1,1,,1,,1,1,,,,1,1,,1,1,,,,5,6,11,
U5 G6,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
Tuition Status,Resident Tuition,31,17,48,,,,3,8,11,1,1,2,5,9,14,,,2,2,4,,,,,,,42,37,79,
Non-Resident Tuition,,1,,1,,,,,,,,,,,,,,,,,,,2,2,,,,1,2,3,
Tuition Exemption/Waiver,,1,,1,,,,,,,,,,1,2,3,,,,,,,1,1,,,,2,3,5,
Residency Status,Texas Resident,31,17,48,,,,3,8,11,1,1,2,6,11,17,,,2,2,4,,,,,,,43,39,82,
"Non-TX, US Resident",,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,3,3,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,2,1,3,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,4,
9-11 SCH,,1,1,2,,,,,,,,,,1,,1,,,1,,1,,,,,,,3,1,4,
12-14 SCH,,21,8,29,,,,2,5,7,1,,1,4,8,12,,,1,1,2,,1,1,,,,29,23,52,
15-17 SCH,,8,7,15,,,,1,2,3,,1,1,1,3,4,,,,1,1,,2,2,,,,10,16,26,
>17 SCH,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,3,2,5,,,,,1,1,,,,1,,1,,,1,,1,,,,,,,5,3,8,
Full-Time,,30,15,45,,,,3,7,10,1,1,2,5,11,16,,,1,2,3,,3,3,,,,40,39,79,
"Top 10% Texas High
School",No,23,17,40,,,,2,5,7,1,1,2,5,10,15,,,2,1,3,,3,3,,,,33,37,70,
Yes,,10,,10,,,,1,3,4,,,,1,1,2,,,,1,1,,,,,,,12,5,17,
First Generation,No,21,12,33,,,,2,5,7,,,,4,8,12,,,1,1,2,,,,,,,28,26,54,
Unknown,,1,,1,,,,,,,,,,,,,,,,,,,3,3,,,,1,3,4,
Yes,,11,5,16,,,,1,3,4,1,1,2,2,3,5,,,1,1,2,,,,,,,16,13,29,
"Dorm / Off-campus
students",Off-campus,31,16,47,,,,3,7,10,1,1,2,6,10,16,,,2,2,4,,2,2,,,,43,38,81,
Dorm (On-campus),,2,1,3,,,,,1,1,,,,,1,1,,,,,,,1,1,,,,2,4,6,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
