College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,26,32,58,,,,,3,3,1,,1,6,12,18,,,,1,1,3,6,9,,1,1,36,55,91,
TAMU Age Categories,18-21,20,24,44,,,,,2,2,1,,1,6,8,14,,,,1,1,2,2,4,,,,29,37,66,
22-25,,3,5,8,,,,,1,1,,,,,3,3,,,,,,,3,3,,1,1,3,13,16,
26-30,,2,,2,,,,,,,,,,,,,,,,,,,1,1,,,,2,1,3,
31-39,,,3,3,,,,,,,,,,,1,1,,,,,,1,,1,,,,1,4,5,
40+,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Classification,Freshman,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
Sophomore,,4,8,12,,,,,1,1,,,,2,6,8,,,,,,,,,,,,6,15,21,
Junior,,22,19,41,,,,,2,2,1,,1,4,6,10,,,,1,1,2,6,8,,,,29,34,63,
Senior,,,2,2,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,3,4,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,25,32,57,,,,,3,3,1,,1,6,12,18,,,,1,1,,,,,1,1,32,49,81,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,2,3,5,
Tuition Exemption/Waiver,,1,,1,,,,,,,,,,,,,,,,,,1,3,4,,,,2,3,5,
Residency Status,Texas Resident,26,32,58,,,,,3,3,1,,1,6,12,18,,,,1,1,,,,,1,1,33,49,82,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,3,6,9,,,,3,6,9,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
9-11 SCH,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
12-14 SCH,,15,22,37,,,,,1,1,,,,4,11,15,,,,,,3,3,6,,1,1,22,38,60,
15-17 SCH,,8,7,15,,,,,2,2,1,,1,2,1,3,,,,1,1,,3,3,,,,11,14,25,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,3,3,6,,,,,,,,,,,,,,,,,,1,,1,,,,4,3,7,
Full-Time,,23,29,52,,,,,3,3,1,,1,6,12,18,,,,1,1,2,6,8,,1,1,32,52,84,
"Top 10% Texas High
School",No,18,26,44,,,,,2,2,1,,1,3,11,14,,,,1,1,3,6,9,,1,1,25,47,72,
Yes,,8,6,14,,,,,1,1,,,,3,1,4,,,,,,,,,,,,11,8,19,
First Generation,No,13,19,32,,,,,,,1,,1,,7,7,,,,,,,,,,,,14,26,40,
Unknown,,,1,1,,,,,,,,,,1,,1,,,,,,3,6,9,,,,4,7,11,
Yes,,13,12,25,,,,,3,3,,,,5,5,10,,,,1,1,,,,,1,1,18,22,40,
"Dorm / Off-campus
students",Off-campus,26,29,55,,,,,3,3,1,,1,6,12,18,,,,1,1,3,5,8,,1,1,36,51,87,
Dorm (On-campus),,,3,3,,,,,,,,,,,,,,,,,,,1,1,,,,,4,4,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
