Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine            BIMS GENE LAMD STJR TOXI USVM VPAT VPHY VTMD VTMI VTPH
Subtotal
General Studies                    GEST TEAM
Subtotal",,394,257,193,257,,"1,101",,48,48,17,17,,,"1,166",
,,,,,,,,,,,8,8,,,8,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,5,5,,,,,5,
,,,,,,,,,,,7,7,,,7,
,,,,,1,,1,,,,,,,,1,
,,,,,,,,,1,1,11,11,,,12,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,450,450,450,
,,,,,,,,,,,6,6,,,6,
,,,,,,,,,1,1,,,,,1,
,,394,257,193,258,,"1,102",,56,56,50,50,450,450,"1,658",
,,607,793,26,,,"1,426",,,,,,,,"1,426",
,,872,122,1,,,995,,,,,,,,995,
,,"1,479",915,27,,,"2,421",,,,,,,,"2,421",
"Other - Special Populations
University",MDSC,,,,,,,,5,5,,,,,5,
,"PHLT
Subtotal Total",,,,,,,,10,10,,,,,10,
,,,,,,,,,15,15,,,,,15,
,,"5,880","5,957","6,401","9,442",78,"27,758",1,"2,443","2,444","1,655","1,655",450,450,"32,307",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,,
