Data and Research Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,305,273,578,2,,2,17,15,32,7,7,14,70,55,125,,,,13,8,21,,2,2,,2,2,414,362,
"TAMU Age           <18
Categories",2,,2,,,,1,,1,1,,1,,1,1,,,,1,,1,,,,,,,5,1,
18-21,303,273,576,2,,2,16,15,31,6,7,13,70,54,124,,,,12,8,20,,2,2,,2,2,409,361,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification      Freshman,274,258,532,2,,2,17,15,32,7,7,14,63,49,112,,,,12,6,18,,2,2,,1,1,375,338,
Sophomore,29,13,42,,,,,,,,,,7,5,12,,,,1,1,2,,,,,1,1,37,20,
Junior,2,2,4,,,,,,,,,,,1,1,,,,,1,1,,,,,,,2,4,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,277,240,517,2,,2,17,15,32,7,6,13,65,54,119,,,,12,8,20,,,,,2,2,380,325,
Non-Resident Tuition,6,4,10,,,,,,,,,,,,,,,,,,,,2,2,,,,6,6,
Tuition Exemption/Waiver,22,29,51,,,,,,,,1,1,5,1,6,,,,1,,1,,,,,,,28,31,
Residency            Texas Resident Status,297,262,559,2,,2,17,15,32,7,7,14,70,55,125,,,,13,8,21,,,,,2,2,406,349,
"Non-TX, US Resident",8,11,19,,,,,,,,,,,,,,,,,,,,,,,,,8,11,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,211,181,392,1,,1,8,6,14,4,7,11,37,39,76,,,,7,2,9,,1,1,,1,1,268,237,
15-17 SCH,94,91,185,1,,1,9,9,18,3,,3,33,16,49,,,,6,6,12,,,,,1,1,146,123,
>17 SCH,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,
"Ft/Pt:  TAMU     Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,
Full-Time,305,273,578,2,,2,17,15,32,7,7,14,70,55,125,,,,13,8,21,,1,1,,2,2,414,361,
Top 10% Texas   No High School,69,109,178,,,,10,7,17,2,2,4,7,13,20,,,,3,3,6,,2,2,,,,91,136,
Yes,236,164,400,2,,2,7,8,15,5,5,10,63,42,105,,,,10,5,15,,,,,2,2,323,226,
"First                      No
Generation",253,239,492,2,,2,13,9,22,,4,4,28,31,59,,,,9,7,16,,,,,,,305,290,
Unknown,3,7,10,,,,,,,,2,2,3,1,4,,,,1,1,2,,2,2,,2,2,7,15,
Yes,49,27,76,,,,4,6,10,7,1,8,39,23,62,,,,3,,3,,,,,,,102,57,
Dorm / Off-         Off-campus campus,111,104,215,,,,4,6,10,2,3,5,17,16,33,,,,5,5,10,,2,2,,1,1,139,137,
students               Dorm (On-campus),194,169,363,2,,2,13,9,22,5,4,9,53,39,92,,,,8,3,11,,,,,1,1,275,225,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
