Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,,2,3,,5,1,1,,,,,6,
,ALEC,,3,7,7,,17,2,2,,,,,19,
,ANSC,4,6,6,6,1,23,1,1,,,,,24,
,BAEN,,2,2,4,,8,1,1,,,,,9,
,BCBP,2,3,3,3,,11,,,1,1,,,12,
,CLAG,,1,2,,,3,,,,,,,3,
,ENTO,2,1,,1,,4,,,,,,,4,
,ESSM,,1,1,1,,3,1,1,,,,,4,
,HRSC,1,,,2,,3,,,,,,,3,
,NFSC,1,1,4,7,,13,1,1,,,,,14,
,PLPM,1,2,,4,,7,,,,,,,7,
,POSC,,,,1,,1,,,,,,,1,
,RPTS,1,2,4,2,,9,,,,,,,9,
,SCSC,,1,2,2,,5,,,,,,,5,
,WFSC,,2,1,3,,6,,,,,,,6,
,Subtotal,12,25,34,46,1,118,7,7,1,1,,,126,
Architecture,ARCH,2,,2,3,,7,,,,,,,7,
,CLAR,,,1,,,1,,,,,,,1,
,COSC,2,2,1,5,,10,,,,,,,10,
,LAUP,1,,1,3,,5,2,2,,,,,7,
,VIZA,,1,,2,,3,2,2,,,,,5,
,Subtotal,5,3,5,13,,26,4,4,,,,,30,
Business Admin,ACCT,,,5,5,,10,1,1,,,,,11,
,CLBA,19,15,6,5,,45,,,,,,,45,
,FINC,,,2,1,,3,1,1,,,,,4,
,INFO,,,3,5,,8,,,,,,,8,
,MGMT,,,2,1,,3,,,,,,,3,
,MKTG,,,5,7,,12,1,1,,,,,13,
,Subtotal,19,15,23,24,,81,3,3,,,,,84,
Education,CLED,,,,,1,1,,,,,,,1,
,EAHR,,,1,4,,5,1,1,3,3,,,9,
,EPSY,,,2,1,,3,2,2,4,4,,,9,
,HLKN,8,16,22,11,,57,3,3,1,1,,,61,
,TLAC,2,4,4,6,,16,4,4,3,3,,,23,
,Subtotal,10,20,29,22,1,82,10,10,11,11,,,103,
