Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           BIMS TOXI VTMD VTMI
Subtotal",,41,12,11,12,,76,3,3,,,,,79,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,4,4,4,
,,,,,,,,,,1,1,,,1,
,,41,12,11,12,,76,4,4,1,1,4,4,85,
"General Studies
Other - Special Populations
University",GEST,66,39,1,,,106,,,,,,,106,
,"TEAM
Subtotal PHLT
Subtotal Total",21,1,,,,22,,,,,,,22,
,,87,40,1,,,128,,,,,,,128,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,365,248,272,440,1,"1,326",168,168,214,214,4,4,"1,712",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,
