Texas A&M University Student Enrollment Summary,,,,,,,,
Student Head Count by Level (Qatar) Not Reported to THECB,,,,,,,,
"Qatar, Fall 2012",,Student Level,,,,,,
,,Undergraduate,,Masters,,Total,,
,,#,%,#,%,#,%,
Gender,Total,509,100.0%,36,100.0%,545,100.0%,
Female,,193,37.9%,16,44.4%,209,38.3%,
Male,,316,62.1%,20,55.6%,336,61.7%,
TAMU Age Categories,<18,22,4.3%,,,22,4.0%,
18-21,,382,75.0%,2,5.6%,384,70.5%,
22-25,,88,17.3%,26,72.2%,114,20.9%,
26-30,,9,1.8%,6,16.7%,15,2.8%,
31-39,,7,1.4%,2,5.6%,9,1.7%,
40+,,1,.2%,,,1,.2%,
Enrollment Status,1st Time in College,111,21.8%,,,111,20.4%,
1st Time Graduate,,,,24,66.7%,24,4.4%,
1st Time Transfer,,5,1.0%,,,5,.9%,
Continuing,,393,77.2%,12,33.3%,405,74.3%,
SCH Categories,< 6 SCH,11,2.2%,4,11.1%,15,2.8%,
6-8 SCH,,16,3.1%,13,36.1%,29,5.3%,
9-11 SCH,,58,11.4%,16,44.4%,74,13.6%,
12-14 SCH,,190,37.3%,3,8.3%,193,35.4%,
15-17 SCH,,222,43.6%,,,222,40.7%,
>17 SCH,,12,2.4%,,,12,2.2%,
Ft/Pt: TAMU Status,Less Than Half Time,11,2.2%,,,11,2.0%,
Half-Time,,74,14.5%,17,47.2%,91,16.7%,
Full-Time,,424,83.3%,19,52.8%,443,81.3%,
First Generation,No,8,1.6%,2,5.6%,10,1.8%,
Unknown,,498,97.8%,34,94.4%,532,97.6%,
Yes,,3,.6%,,,3,.6%,
"Prepared by DARS, 12/5/2012",,,,,,,,
Page 6,,,,,,,,
