Fall 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,ABME,,1,,,,,,,,,,,,,1,,,,1,1,2,
ADEV,,11,7,,,,,,,,3,,,,,,,,,11,10,21,
AGBL,,48,84,1,,,2,,1,5,7,,,1,,1,3,,,56,97,153,
AGBU,,47,99,,,1,1,1,1,5,9,,,,3,16,5,,2,70,120,190,
AGCJ,,196,58,2,,1,,11,2,21,7,,,3,4,3,1,,,237,72,309,
AGEC,,76,189,1,,3,3,1,1,12,25,,,1,1,22,34,,,116,253,369,
AGLS,,42,45,,,1,,7,1,8,13,,,1,2,1,,,,60,61,121,
AGRO,,17,109,,1,1,1,1,1,6,10,,,,4,2,2,,,27,128,155,
AGSC,,69,33,,,,1,,,10,3,,,1,1,,,,,80,38,118,
AGSM,,10,113,,,,3,1,,2,13,,,,3,,3,,,13,135,148,
ALEC,,61,41,,,,2,5,5,3,5,,,1,1,4,1,1,1,75,56,131,
ALED,,160,277,2,4,,2,8,49,32,39,,1,1,6,1,1,,,204,379,583,
ANBR,,7,2,,,,,1,,,,,,,,1,1,,,9,3,12,
ANSC,,536,196,7,,9,,10,1,109,52,,,18,6,4,6,2,,695,261,956,
BAEN,,56,129,,1,3,8,5,3,14,34,,,,6,17,33,,1,95,215,310,
BESC,,62,57,,1,6,13,6,5,40,22,,1,4,3,2,,,,120,102,222,
BICH,,65,80,,2,21,34,12,7,18,27,,,5,4,24,37,1,2,146,193,339,
BIOT,,,1,,,,3,,,,,,,,,2,2,,,2,6,8,
CDEV,,14,9,,,1,,,,2,4,,,,,,,,,17,13,30,
ECOR,,7,14,,,1,,,,2,4,,,,,,,,,10,18,28,
ENST,,19,19,,,,,,,3,2,,,,,,,,,22,21,43,
ENTO,,35,29,,1,3,4,1,2,19,12,,,,2,9,8,,,67,58,125,
FISC,,,2,,,,,,,,,,,,,,,,,,2,2,
FIVL,,31,19,1,,,,7,,30,11,,,1,,,1,,,70,31,101,
FIVS,,18,5,,,1,2,,,7,2,,,1,,,,,,27,9,36,
FORS,,6,22,,,,1,1,,1,1,,,,,4,3,,,12,27,39,
FSTC,,66,32,,,6,6,6,3,20,7,,,5,1,11,6,,,114,55,169,
GENE,,51,36,,,11,3,3,3,13,9,,,1,2,2,6,1,,82,59,141,
HORT,,102,54,,1,3,,,,17,13,,,3,,10,5,,,135,73,208,
MEPS,,3,3,,,,1,,1,1,1,,,,,7,8,,,11,14,25,
NRDV,,9,12,,,,,1,,2,2,,,1,,,,,,13,14,27,
NUSC,,295,40,1,,30,7,13,2,79,13,1,,5,3,4,1,2,,430,66,496,
NUTR,,15,3,,,2,,2,,2,,,,,,10,1,,,31,4,35,
PLBR,,6,22,,,,,,,,,,,,,8,10,,,14,32,46,
PLPA,,5,3,,,,1,1,,3,3,,,,,4,9,,1,13,17,30,
POSC,,51,72,1,,,,3,2,17,15,,,1,,2,4,,,75,93,168,
PREP,,8,2,,,,,,,1,,,,,,1,2,,,10,4,14,
PSSC,,,,,,,,,,,1,,,,1,,,,,,2,2,
RENR,,10,40,,1,1,,1,1,3,8,,,,,,,,,15,50,65,
RLEM,,30,46,,,1,,1,,8,10,,,,2,6,2,,,46,60,106,
RPTS,,226,133,1,,6,4,12,12,22,16,1,1,3,6,21,11,,1,292,184,476,
RRDV,,1,1,,,,,,,,,,,,,,,,,1,1,2,
SOSC,,7,9,,,,,,,2,,,,,,5,2,,,14,11,25,
SPSA,,3,19,,,,1,1,,,3,,,,1,,,,,4,24,28,
TOXI,,1,,,,,,1,,,,,,,,1,,,,3,,3,
USAL,,23,52,,1,,,1,10,2,10,,,1,,,,,,27,73,100,
WFSC,,179,180,,1,1,3,8,2,71,43,1,1,5,1,11,8,2,1,278,240,518,
WISC,,7,6,,,,,,,1,1,,,,,,,,,8,7,15,
WMHS,,2,10,,,,,1,,1,1,,,,,2,1,,,6,12,18,
Subtotal,,"2,693","2,415",17,14,113,106,133,115,614,461,3,4,63,63,219,217,9,9,"3,864","3,404","7,268",
Architecture,ARCH,26,32,1,,3,3,1,1,7,8,,,,,35,40,2,1,75,85,160,
Page 83,,,,,,,,,,,,,,,,,,,,,,,
