College General Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
TAMU Age Categories,18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-30,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophomore,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Exemption/Waiver,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
15-17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Top 10% Texas High
School",No,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Dorm / Off-campus
students",Off-campus,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
