Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"2,697",100.0%,180,100.0%,703,100.0%,,,"3,580",100.0%,
Female,"1,346",49.9%,66,36.7%,238,33.9%,,,"1,650",46.1%,
Male,"1,351",50.1%,114,63.3%,465,66.1%,,,"1,930",53.9%,
Ethnicity                  White Only (NEW),"1,501",55.7%,106,58.9%,240,34.1%,,,"1,847",51.6%,
American Indian Only (NEW),9,.3%,,,2,.3%,,,11,.3%,
Asian Only (NEW),308,11.4%,16,8.9%,23,3.3%,,,347,9.7%,
Black Only + 2 or more/1 Black (NEW),85,3.2%,5,2.8%,8,1.1%,,,98,2.7%,
Hispanic or Latino of any Race (NEW),653,24.2%,10,5.6%,36,5.1%,,,699,19.5%,
Native Hawaii Only (New),4,.1%,,,,,,,4,.1%,
2 or More/Excluding Black (NEW),89,3.3%,4,2.2%,7,1.0%,,,100,2.8%,
International,41,1.5%,33,18.3%,381,54.2%,,,455,12.7%,
Unknown or Not Reported,7,.3%,6,3.3%,6,.9%,,,19,.5%,
TAMU Age               <18,15,.6%,,,1,.1%,,,16,.4%,
Categories                18-21,"2,311",85.7%,,,1,.1%,,,"2,312",64.6%,
22-25,351,13.0%,43,23.9%,271,38.5%,,,665,18.6%,
26-30,12,.4%,51,28.3%,313,44.5%,,,376,10.5%,
31-39,7,.3%,36,20.0%,106,15.1%,,,149,4.2%,
40+,1,.0%,50,27.8%,11,1.6%,,,62,1.7%,
Enrollment Status  1st Time in College,"1,034",38.3%,,,,,,,"1,034",28.9%,
1st Time Graduate,,,54,30.0%,130,18.5%,,,184,5.1%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,87,3.2%,,,,,,,87,2.4%,
Readmitted,9,.3%,1,.6%,1,.1%,,,11,.3%,
Continuing,"1,567",58.1%,125,69.4%,572,81.4%,,,"2,264",63.2%,
Tuition Status         Resident Tuition,"2,450",90.8%,121,67.2%,124,17.6%,,,"2,695",75.3%,
Non-Resident Tuition,64,2.4%,24,13.3%,45,6.4%,,,133,3.7%,
Tuition Exemption/Waiver,183,6.8%,35,19.4%,534,76.0%,,,752,21.0%,
Residency Status    Texas Resident,"2,559",94.9%,132,73.3%,133,18.9%,,,"2,824",78.9%,
"Non-TX, US Resident",98,3.6%,13,7.2%,186,26.5%,,,297,8.3%,
"Non-TX, Non-US Resident",40,1.5%,35,19.4%,384,54.6%,,,459,12.8%,
SCH Categories       < 6 SCH,13,.5%,87,48.3%,22,3.1%,,,122,3.4%,
6-8 SCH,43,1.6%,36,20.0%,4,.6%,,,83,2.3%,
9-11 SCH,58,2.2%,52,28.9%,658,93.6%,,,768,21.5%,
12-14 SCH,"1,309",48.5%,3,1.7%,12,1.7%,,,"1,324",37.0%,
15-17 SCH,"1,228",45.5%,2,1.1%,6,.9%,,,"1,236",34.5%,
>17 SCH,46,1.7%,,,1,.1%,,,47,1.3%,
Ft/Pt:  TAMU          Less Than Half Time,13,.5%,75,41.7%,22,3.1%,,,110,3.1%,
Status                        Half-Time,102,3.8%,48,26.7%,4,.6%,,,154,4.3%,
Full-Time,"2,582",95.7%,57,31.7%,677,96.3%,,,"3,316",92.6%,
Top 10% Texas        No,"1,107",41.0%,178,98.9%,694,98.7%,,,"1,979",55.3%,
High School             Yes,"1,590",59.0%,2,1.1%,9,1.3%,,,"1,601",44.7%,
First Generation     No,"1,828",67.8%,86,47.8%,330,46.9%,,,"2,244",62.7%,
Unknown,105,3.9%,46,25.6%,198,28.2%,,,349,9.7%,
Yes,764,28.3%,48,26.7%,175,24.9%,,,987,27.6%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 15,,,,,,,,,,,
