Fall 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Business Admin,FINC,473,1,33,8,82,,4,19,2,622
,INFO,333,2,31,12,73,,8,16,1,476
,MGMT,248,,16,11,43,,3,8,2,331
,MISY,47,,5,3,4,,,129,,188
,MKTG,332,,7,9,37,2,13,13,2,415
,MLER,51,,1,,4,,,1,,57
,PMBA,25,,8,1,,,,,2,36
,USBU,117,,2,9,20,,5,1,,154
,Subtotal,"3,847",8,268,135,643,3,84,269,27,"5,284"
Education,ATTR,8,,,1,1,,,,1,11
,BIED,2,,,,10,,,2,1,15
,CPSY,9,,2,5,11,,1,1,,29
,EDAD,113,2,7,41,57,,1,2,1,224
,EDCI,225,3,7,47,43,,7,58,4,394
,EDHL,540,1,26,29,124,1,18,1,,740
,EDIS,495,1,4,14,92,,7,,,613
,EDKI,545,1,15,28,125,,25,5,,744
,EDSM,214,,2,24,49,,4,3,,296
,EDTC,5,,,,,,,,,5
,EHRD,76,,8,26,25,,3,30,,168
,EPSY,57,,3,7,19,,3,41,1,131
,GENE,1,,,,,,,,,1
,HEED,33,,6,7,16,,1,7,,70
,HLTH,180,,7,11,38,,4,,,240
,HRDL,96,1,7,6,26,,3,1,,140
,HRDV,69,,1,9,16,,1,,,96
,INST,777,1,6,16,106,,12,1,,919
,KINE,251,,8,11,55,1,3,24,,353
,NUTR,2,,1,,,,,,,3
,SPED,23,,1,2,4,,,,1,31
,SPMT,160,1,2,31,29,,6,7,1,237
,SPSY,15,,3,4,8,,2,2,,34
,TCMG,25,,6,1,19,,1,,,52
,TCML,53,,3,6,22,,,,,84
,TECR,5,,,,,,1,,,6
,USEH,2,,,,,,,,,2
