Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"3,570",100.0%,,,,,,,"3,570",100.0%,
Female,"1,611",45.1%,,,,,,,"1,611",45.1%,
Male,"1,959",54.9%,,,,,,,"1,959",54.9%,
Ethnicity                  White Only (NEW),"2,421",67.8%,,,,,,,"2,421",67.8%,
American Indian Only (NEW),11,.3%,,,,,,,11,.3%,
Asian Only (NEW),168,4.7%,,,,,,,168,4.7%,
Black Only + 2 or more/1 Black (NEW),128,3.6%,,,,,,,128,3.6%,
Hispanic or Latino of any Race (NEW),727,20.4%,,,,,,,727,20.4%,
Native Hawaii Only (New),6,.2%,,,,,,,6,.2%,
2 or More/Excluding Black (NEW),82,2.3%,,,,,,,82,2.3%,
International,16,.4%,,,,,,,16,.4%,
Unknown or Not Reported,11,.3%,,,,,,,11,.3%,
TAMU Age               <18,13,.4%,,,,,,,13,.4%,
Categories                18-21,"3,542",99.2%,,,,,,,"3,542",99.2%,
22-25,14,.4%,,,,,,,14,.4%,
26-30,1,.0%,,,,,,,1,.0%,
31-39,,,,,,,,,,,
40+,,,,,,,,,,,
Enrollment Status  1st Time in College,"1,559",43.7%,,,,,,,"1,559",43.7%,
1st Time Graduate,,,,,,,,,,,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,1,.0%,,,,,,,1,.0%,
Readmitted,11,.3%,,,,,,,11,.3%,
Continuing,"1,999",56.0%,,,,,,,"1,999",56.0%,
Tuition Status         Resident Tuition,"3,298",92.4%,,,,,,,"3,298",92.4%,
Non-Resident Tuition,84,2.4%,,,,,,,84,2.4%,
Tuition Exemption/Waiver,188,5.3%,,,,,,,188,5.3%,
Residency Status    Texas Resident,"3,426",96.0%,,,,,,,"3,426",96.0%,
"Non-TX, US Resident",123,3.4%,,,,,,,123,3.4%,
"Non-TX, Non-US Resident",21,.6%,,,,,,,21,.6%,
SCH Categories       < 6 SCH,"1,223",34.3%,,,,,,,"1,223",34.3%,
6-8 SCH,100,2.8%,,,,,,,100,2.8%,
9-11 SCH,34,1.0%,,,,,,,34,1.0%,
12-14 SCH,"1,596",44.7%,,,,,,,"1,596",44.7%,
15-17 SCH,600,16.8%,,,,,,,600,16.8%,
>17 SCH,17,.5%,,,,,,,17,.5%,
Ft/Pt:  TAMU          Less Than Half Time,"1,224",34.3%,,,,,,,"1,224",34.3%,
Status                        Half-Time,135,3.8%,,,,,,,135,3.8%,
Full-Time,"2,211",61.9%,,,,,,,"2,211",61.9%,
Top 10% Texas        No,"2,721",76.2%,,,,,,,"2,721",76.2%,
High School             Yes,849,23.8%,,,,,,,849,23.8%,
First Generation     No,"2,461",68.9%,,,,,,,"2,461",68.9%,
Unknown,109,3.1%,,,,,,,109,3.1%,
Yes,"1,000",28.0%,,,,,,,"1,000",28.0%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 17,,,,,,,,,,,
