College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,White Only (NEW),,,"American Indian Only
(NEW)",,,Asian Only (NEW),,,"Black Only + 2 or more/1
Black (NEW)",,,"Hispanic or Latino of
any Race (NEW)",,,"Native Hawaii Only
(New)",,,"2 or More/Excluding
Black (NEW)",,,International,,,"Unknown or Not
Reported",,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,319,149,468,,,,17,10,27,17,15,32,108,50,158,,2,2,6,6,12,,3,3,2,,2,469,235,
"TAMU Age           <18
Categories",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
18-21,318,148,466,,,,17,10,27,17,15,32,108,50,158,,2,2,6,6,12,,3,3,2,,2,468,234,
22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Classification      Freshman,299,135,434,,,,17,9,26,15,15,30,99,44,143,,2,2,6,5,11,,3,3,2,,2,438,213,
Sophomore,19,13,32,,,,,1,1,2,,2,8,6,14,,,,,1,1,,,,,,,29,21,
Junior,1,1,2,,,,,,,,,,1,,1,,,,,,,,,,,,,2,1,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,277,129,406,,,,13,9,22,16,13,29,101,45,146,,2,2,5,6,11,,1,1,2,,2,414,205,
Non-Resident Tuition,5,3,8,,,,3,,3,,2,2,,1,1,,,,,,,,,,,,,8,6,
Tuition Exemption/Waiver,37,17,54,,,,1,1,2,1,,1,7,4,11,,,,1,,1,,2,2,,,,47,24,
Residency            Texas Resident Status,303,139,442,,,,13,9,22,17,13,30,108,48,156,,2,2,6,6,12,,1,1,2,,2,449,218,
"Non-TX, US Resident",16,9,25,,,,2,1,3,,2,2,,2,2,,,,,,,,,,,,,18,14,
"Non-TX, Non-US Resident",,1,1,,,,2,,2,,,,,,,,,,,,,,2,2,,,,2,3,
SCH Categories  < 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
12-14 SCH,199,95,294,,,,16,8,24,13,15,28,73,39,112,,2,2,2,3,5,,1,1,2,,2,305,163,
15-17 SCH,116,53,169,,,,1,2,3,4,,4,35,11,46,,,,4,3,7,,2,2,,,,160,71,
>17 SCH,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Ft/Pt:  TAMU     Less Than Half Time Status,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Half-Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Full-Time,318,148,466,,,,17,10,27,17,15,32,108,50,158,,2,2,6,6,12,,3,3,2,,2,468,234,
Top 10% Texas   No High School,94,72,166,,,,10,3,13,2,12,14,15,15,30,,2,2,,3,3,,3,3,1,,1,122,110,
Yes,225,77,302,,,,7,7,14,15,3,18,93,35,128,,,,6,3,9,,,,1,,1,347,125,
"First                      No
Generation",237,119,356,,,,10,5,15,6,6,12,44,22,66,,,,5,4,9,,,,1,,1,303,156,
Unknown,7,4,11,,,,1,2,3,1,1,2,3,1,4,,,,,,,,2,2,,,,12,10,
Yes,75,26,101,,,,6,3,9,10,8,18,61,27,88,,2,2,1,2,3,,1,1,1,,1,154,69,
Dorm / Off-         Off-campus campus,145,66,211,,,,10,,10,4,13,17,33,13,46,,2,2,1,2,3,,,,2,,2,195,96,
students               Dorm (On-campus),174,83,257,,,,7,10,17,13,2,15,75,37,112,,,,5,4,9,,3,3,,,,274,139,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
