Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,"WISC WMHS
Subtotal",,,,,,,,2,2,,,,,2,
,,,,,,,,,2,2,,,,,2,
,,171,186,235,359,4,955,,62,62,58,58,,,"1,075",
"Architecture
Business Admin",ARCH,,,,,,,,13,13,2,2,,,15,
,COMG,,,,,,,,3,3,,,,,3,
,COSC,,,15,37,1,53,,,,,,,,53,
,COSL,20,20,9,1,,50,,,,,,,,50,
,ENDL,27,17,14,1,,59,,,,,,,,59,
,ENDS,,,8,28,,36,,,,,,,,36,
,LAND,,1,5,9,,15,,,,,,,,15,
,LANL,10,7,1,,,18,,,,,,,,18,
,LDEV,,,,,,,,2,2,,,,,2,
,LPDV,,,,,,,,1,1,,,,,1,
,URPL,,,,,,,,7,7,,,,,7,
,URSC,7,5,5,9,,26,,,,4,4,,,30,
,USAR,,1,4,11,,16,,,,,,,,16,
,VISL,5,12,7,4,,28,,,,,,,,28,
,VIST,,,4,8,,12,,8,8,,,,,20,
,Subtotal,69,63,72,108,1,313,,34,34,6,6,,,353,
,ACCT,,1,43,44,,88,,6,6,,,,,94,
,BHNR,,,5,10,,15,,,,,,,,15,
,BUAD,113,115,19,,,247,,3,3,,,,,250,
,BUAG,6,,,,,6,,,,,,,,6,
,EMBA,,,,,,,,15,15,,,,,15,
,FINC,,2,31,40,,73,,8,8,1,1,,,82,
,INFO,,2,30,41,,73,,,,,,,,73,
,MGMT,,1,16,21,,38,,4,4,1,1,,,43,
,MISY,,,,,,,,4,4,,,,,4,
,MKTG,,2,10,19,,31,,6,6,,,,,37,
,MLER,,,,,,,,4,4,,,,,4,
,USBU,,2,11,7,,20,,,,,,,,20,
,Subtotal,119,125,165,182,,591,,50,50,2,2,,,643,
