Fall 2012,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Education             ATTR,6,2,,,,,1,,,1,,,,,,,1,,8,3,11,
BIED,1,1,,,,,,,7,3,,,,,2,,,1,10,5,15,
CPSY,6,3,,,2,,3,2,9,2,,,1,,1,,,,22,7,29,
EDAD,57,56,1,1,5,2,27,14,33,24,,,,1,2,,,1,125,99,224,
EDCI,184,41,3,,7,,40,7,31,12,,,6,1,40,18,2,2,313,81,394,
EDHL,496,44,1,,25,1,24,5,103,21,1,,14,4,1,,,,665,75,740,
EDIS,476,19,1,,4,,13,1,83,9,,,6,1,,,,,583,30,613,
EDKI,353,192,1,,7,8,23,5,73,52,,,17,8,4,1,,,478,266,744,
EDSM,62,152,,,1,1,9,15,13,36,,,,4,3,,,,88,208,296,
EDTC,3,2,,,,,,,,,,,,,,,,,3,2,5,
EHRD,47,29,,,5,3,17,9,16,9,,,2,1,21,9,,,108,60,168,
EPSY,49,8,,,2,1,5,2,13,6,,,3,,31,10,,1,103,28,131,
GENE,1,,,,,,,,,,,,,,,,,,1,,1,
HEED,30,3,,,6,,4,3,10,6,,,1,,6,1,,,57,13,70,
HLTH,168,12,,,6,1,8,3,30,8,,,4,,,,,,216,24,240,
HRDL,77,19,1,,6,1,4,2,19,7,,,1,2,1,,,,109,31,140,
HRDV,56,13,,,1,,4,5,11,5,,,,1,,,,,72,24,96,
INST,733,44,1,,5,1,13,3,93,13,,,11,1,1,,,,857,62,919,
KINE,149,102,,,3,5,7,4,26,29,1,,2,1,6,18,,,194,159,353,
NUTR,2,,,,1,,,,,,,,,,,,,,3,,3,
SPED,22,1,,,1,,2,,4,,,,,,,,1,,30,1,31,
SPMT,51,109,,1,1,1,11,20,13,16,,,2,4,2,5,,1,80,157,237,
SPSY,12,3,,,3,,4,,8,,,,1,1,2,,,,30,4,34,
TCMG,5,20,,,2,4,,1,6,13,,,1,,,,,,14,38,52,
TCML,6,47,,,1,2,,6,5,17,,,,,,,,,12,72,84,
TECR,3,2,,,,,,,,,,,,1,,,,,3,3,6,
USEH,2,,,,,,,,,,,,,,,,,,2,,2,
Subtotal,"3,057",924,9,2,94,31,219,107,606,289,2,,72,31,123,62,4,6,"4,186","1,452","5,638",
Page 85,,,,,,,,,,,,,,,,,,,,,,
