Data and Research Services,,,,,,
Official 12th Class Day Data -- Certified,,,,,,
Demographic Summary by Classification,,,,,,
Professional Students (College Station Campus),,,,,,
Fall 2012,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count     Total,134,131,133,129,527,
Gender             Female,103,104,97,102,406,
Male,31,27,36,27,121,
Ethnicity          White Only (NEW),119,110,118,103,450,
American Indian Only (NEW),2,1,,,3,
Asian Only (NEW),2,7,2,2,13,
Black Only + 2 or more/1 Black (NEW),,2,,2,4,
Hispanic or Latino of any Race (NEW),10,9,7,20,46,
2 or More/Excluding Black (NEW),,1,,1,2,
Unknown or Not Reported,1,1,6,1,9,
TAMU Age       18-21,17,1,,,18,
Categories        22-25,91,95,84,54,324,
26-30,20,30,38,64,152,
31-39,4,5,9,11,29,
40+,2,,2,,4,
College             Veterinary Medicine,134,131,133,129,527,
Enrollment      1st Time Professional,133,,,,133,
Status               Continuing,1,131,133,129,394,
Tuition Status Resident Tuition,125,125,118,119,487,
Non-Resident Tuition,,1,2,1,4,
Tuition Exemption/Waiver,9,5,13,9,36,
Residency        Texas Resident,127,127,122,121,497,
"Status               Non-TX, US Resident",7,4,11,8,30,
SCH                   15-17 SCH,,,,1,1,
Categories        >17 SCH,134,131,133,128,526,
Ft/Pt: TAMU  Full-Time,134,131,133,129,527,
"Prepared by DARS, 05 Dec 12",,,,,,
Page 21,,,,,,
