Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,"1,438",100.0%,372,100.0%,114,100.0%,,,"1,924",100.0%,
Female,465,32.3%,170,45.7%,44,38.6%,,,679,35.3%,
Male,973,67.7%,202,54.3%,70,61.4%,,,"1,245",64.7%,
Ethnicity                  White Only (NEW),"1,007",70.0%,149,40.1%,19,16.7%,,,"1,175",61.1%,
American Indian Only (NEW),4,.3%,,,1,.9%,,,5,.3%,
Asian Only (NEW),42,2.9%,13,3.5%,5,4.4%,,,60,3.1%,
Black Only + 2 or more/1 Black (NEW),32,2.2%,10,2.7%,2,1.8%,,,44,2.3%,
Hispanic or Latino of any Race (NEW),313,21.8%,34,9.1%,6,5.3%,,,353,18.3%,
Native Hawaii Only (New),1,.1%,,,,,,,1,.1%,
2 or More/Excluding Black (NEW),26,1.8%,4,1.1%,,,,,30,1.6%,
International,11,.8%,160,43.0%,78,68.4%,,,249,12.9%,
Unknown or Not Reported,2,.1%,2,.5%,3,2.6%,,,7,.4%,
TAMU Age               <18,1,.1%,,,,,,,1,.1%,
Categories                18-21,960,66.8%,5,1.3%,,,,,965,50.2%,
22-25,442,30.7%,211,56.7%,2,1.8%,,,655,34.0%,
26-30,20,1.4%,106,28.5%,27,23.7%,,,153,8.0%,
31-39,13,.9%,37,9.9%,66,57.9%,,,116,6.0%,
40+,2,.1%,13,3.5%,19,16.7%,,,34,1.8%,
Enrollment Status  1st Time in College,205,14.3%,,,,,,,205,10.7%,
1st Time Graduate,,,154,41.4%,17,14.9%,,,171,8.9%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,111,7.7%,,,,,,,111,5.8%,
Readmitted,13,.9%,2,.5%,,,,,15,.8%,
Continuing,"1,109",77.1%,216,58.1%,97,85.1%,,,"1,422",73.9%,
Tuition Status         Resident Tuition,"1,354",94.2%,161,43.3%,22,19.3%,,,"1,537",79.9%,
Non-Resident Tuition,23,1.6%,98,26.3%,19,16.7%,,,140,7.3%,
Tuition Exemption/Waiver,61,4.2%,113,30.4%,73,64.0%,,,247,12.8%,
Residency Status    Texas Resident,"1,397",97.1%,169,45.4%,28,24.6%,,,"1,594",82.8%,
"Non-TX, US Resident",30,2.1%,43,11.6%,8,7.0%,,,81,4.2%,
"Non-TX, Non-US Resident",11,.8%,160,43.0%,78,68.4%,,,249,12.9%,
SCH Categories       < 6 SCH,4,.3%,29,7.8%,20,17.5%,,,53,2.8%,
6-8 SCH,122,8.5%,13,3.5%,2,1.8%,,,137,7.1%,
9-11 SCH,56,3.9%,95,25.5%,87,76.3%,,,238,12.4%,
12-14 SCH,736,51.2%,176,47.3%,3,2.6%,,,915,47.6%,
15-17 SCH,494,34.4%,58,15.6%,2,1.8%,,,554,28.8%,
>17 SCH,26,1.8%,1,.3%,,,,,27,1.4%,
Ft/Pt:  TAMU          Less Than Half Time,5,.3%,29,7.8%,16,14.0%,,,50,2.6%,
Status                        Half-Time,177,12.3%,14,3.8%,7,6.1%,,,198,10.3%,
Full-Time,"1,256",87.3%,329,88.4%,91,79.8%,,,"1,676",87.1%,
Top 10% Texas        No,833,57.9%,358,96.2%,113,99.1%,,,"1,304",67.8%,
High School             Yes,605,42.1%,14,3.8%,1,.9%,,,620,32.2%,
First Generation     No,960,66.8%,157,42.2%,63,55.3%,,,"1,180",61.3%,
Unknown,47,3.3%,157,42.2%,31,27.2%,,,235,12.2%,
Yes,431,30.0%,58,15.6%,20,17.5%,,,509,26.5%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 8,,,,,,,,,,,
