Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,CPSY,,,,,,,,,1,1,,,1
,EDAD,,,,,,,,,1,1,,,1
,EDCI,,,,,,,4,4,3,3,,,7
,EDHL,2,8,8,,,18,,,,,,,18
,EDIS,2,4,1,,,7,,,,,,,7
,EDKI,4,6,14,1,,25,,,,,,,25
,EDSM,2,2,,,,4,,,,,,,4
,EHRD,,,,,,,1,1,2,2,,,3
,EPSY,,,,,,,2,2,1,1,,,3
,HEED,,,,,,,,,1,1,,,1
,HLTH,,,,4,,4,,,,,,,4
,HRDL,,,1,2,,3,,,,,,,3
,HRDV,,,,1,,1,,,,,,,1
,INST,,,5,7,,12,,,,,,,12
,KINE,,,,2,,2,1,1,,,,,3
,SPMT,,,,4,,4,2,2,,,,,6
,SPSY,,,,,,,,,2,2,,,2
,TCMG,,,,1,,1,,,,,,,1
,TECR,,,,,1,1,,,,,,,1
,Subtotal,10,20,29,22,1,82,10,10,11,11,,,103
