Fall 2012,White Only (NEW),,,"American India
(NEW)",,n Only,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,354,64,418,1,,1,4,3,7,33,5,38,82,23,105,,,,6,3,9,2,,2,,,,482,98,
"TAMU Age           <18
Categories",2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
18-21,352,63,415,1,,1,4,3,7,33,5,38,82,23,105,,,,6,3,9,2,,2,,,,480,97,
22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Classification      Freshman,333,60,393,1,,1,4,3,7,33,4,37,75,21,96,,,,5,3,8,2,,2,,,,453,91,
Sophomore,21,3,24,,,,,,,,,,5,2,7,,,,1,,1,,,,,,,27,5,
Junior,,1,1,,,,,,,,1,1,2,,2,,,,,,,,,,,,,2,2,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,325,57,382,1,,1,4,3,7,32,5,37,80,23,103,,,,6,3,9,,,,,,,448,91,
Non-Resident Tuition,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Tuition Exemption/Waiver,24,7,31,,,,,,,1,,1,2,,2,,,,,,,2,,2,,,,29,7,
"Residency            Texas Resident
Status",348,61,409,1,,1,4,3,7,33,5,38,82,23,105,,,,6,3,9,,,,,,,474,95,
"Non-TX, US Resident",6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,6,3,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,
SCH Categories  < 6 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
12-14 SCH,185,39,224,,,,1,3,4,27,3,30,57,13,70,,,,1,1,2,1,,1,,,,272,59,
15-17 SCH,165,24,189,1,,1,3,,3,6,2,8,24,10,34,,,,5,2,7,,,,,,,204,38,
>17 SCH,1,1,2,,,,,,,,,,1,,1,,,,,,,1,,1,,,,3,1,
"Ft/Pt:  TAMU     Less Than Half Time
Status",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Half-Time,2,,2,,,,,,,,,,,,,,,,,,,1,,1,,,,3,,
Full-Time,351,64,415,1,,1,4,3,7,33,5,38,82,23,105,,,,6,3,9,1,,1,,,,478,98,
"Top 10% Texas   No
High School",112,35,147,,,,2,1,3,6,,6,12,4,16,,,,2,1,3,2,,2,,,,136,41,
Yes,242,29,271,1,,1,2,2,4,27,5,32,70,19,89,,,,4,2,6,,,,,,,346,57,
"First                      No
Generation",287,48,335,1,,1,2,2,4,12,1,13,25,7,32,,,,6,2,8,,,,,,,333,60,
Unknown,5,1,6,,,,,,,6,1,7,3,1,4,,,,,,,2,,2,,,,16,3,
Yes,62,15,77,,,,2,1,3,15,3,18,54,15,69,,,,,1,1,,,,,,,133,35,
"Dorm / Off-         Off-campus
campus",149,23,172,,,,,2,2,14,1,15,25,6,31,,,,2,1,3,1,,1,,,,191,33,
students               Dorm (On-campus),205,41,246,1,,1,4,1,5,19,4,23,57,17,74,,,,4,2,6,1,,1,,,,291,65,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
