Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,ATTR,,,,,,,1,1,,,,,1
,CPSY,,,,,,,,,5,5,,,5
,EDAD,,,,,,,9,9,32,32,,,41
,EDCI,,,,,,,7,7,40,40,,,47
,EDHL,6,10,12,1,,29,,,,,,,29
,EDIS,8,3,3,,,14,,,,,,,14
,EDKI,14,4,8,2,,28,,,,,,,28
,EDSM,10,7,4,3,,24,,,,,,,24
,EHRD,,,,,,,5,5,21,21,,,26
,EPSY,,,,,,,2,2,5,5,,,7
,HEED,,,,,,,1,1,6,6,,,7
,HLTH,,,,11,,11,,,,,,,11
,HRDL,2,,2,2,,6,,,,,,,6
,HRDV,,,,9,,9,,,,,,,9
,INST,,1,5,10,,16,,,,,,,16
,KINE,,,,2,,2,4,4,5,5,,,11
,SPED,,,,,,,2,2,,,,,2
,SPMT,,,,18,,18,13,13,,,,,31
,SPSY,,,,,,,,,4,4,,,4
,TCMG,,,,1,,1,,,,,,,1
,TCML,1,1,1,3,,6,,,,,,,6
,Subtotal,41,26,35,62,,164,44,44,118,118,,,326
