First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,656,692,"1,348",3,4,7,32,46,78,17,20,37,147,158,305,1,1,13,30,43,28,68,96,1,3,4,898,"1,021","1,919",
TAMU Age Categories,18-21,575,514,"1,089",2,4,6,27,34,61,14,10,24,123,116,239,1,1,12,19,31,18,40,58,1,2,3,773,739,"1,512",
22-25,,58,108,166,1,,1,5,11,16,3,7,10,19,32,51,,,1,10,11,9,23,32,,1,1,96,192,288,
26-30,,13,39,52,,,,,1,1,,2,2,3,5,8,,,,1,1,,4,4,,,,16,52,68,
31-39,,4,23,27,,,,,,,,1,1,1,4,5,,,,,,1,1,2,,,,6,29,35,
40+,,6,8,14,,,,,,,,,,1,1,2,,,,,,,,,,,,7,9,16,
Classification,Freshman,47,62,109,,,,2,3,5,3,2,5,10,15,25,,,3,3,6,3,1,4,,,,68,86,154,
Sophomore,,349,333,682,2,4,6,16,25,41,9,8,17,79,66,145,,,5,16,21,6,27,33,1,1,2,467,480,947,
Junior,,224,257,481,1,,1,10,15,25,4,6,10,52,62,114,1,1,4,8,12,15,34,49,,1,1,311,383,694,
Senior,,34,32,66,,,,4,3,7,1,4,5,6,15,21,,,1,2,3,4,6,10,,1,1,50,63,113,
U5 G6,,2,8,10,,,,,,,,,,,,,,,,1,1,,,,,,,2,9,11,
Tuition Status,Resident Tuition,621,653,"1,274",2,4,6,30,45,75,12,18,30,138,146,284,1,1,13,30,43,2,5,7,1,1,2,820,902,"1,722",
Non-Resident Tuition,,10,7,17,1,,1,,1,1,3,,3,,4,4,,,,,,20,51,71,,1,1,34,64,98,
Tuition Exemption/Waiver,,25,32,57,,,,2,,2,2,2,4,9,8,17,,,,,,6,12,18,,1,1,44,55,99,
Residency Status,Texas Resident,638,677,"1,315",2,4,6,32,45,77,14,18,32,145,156,301,1,1,13,30,43,2,4,6,1,1,2,848,935,"1,783",
"Non-TX, US Resident",,18,15,33,1,,1,,1,1,3,2,5,2,2,4,,,,,,,,,,2,2,24,22,46,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,26,64,90,,,,26,64,90,
SCH Categories,< 6 SCH,1,1,2,,,,,,,,1,1,2,1,3,,,,,,,,,,,,3,3,6,
6-8 SCH,,8,12,20,,,,,1,1,,1,1,3,2,5,,,,1,1,,,,,,,11,17,28,
9-11 SCH,,18,26,44,,,,2,1,3,1,1,2,5,6,11,,,2,2,4,,,,,,,28,36,64,
12-14 SCH,,325,399,724,1,3,4,14,28,42,8,12,20,75,90,165,,,5,17,22,17,35,52,1,3,4,446,587,"1,033",
15-17 SCH,,292,250,542,2,1,3,15,15,30,8,5,13,62,58,120,1,1,6,9,15,6,30,36,,,,392,368,760,
>17 SCH,,12,4,16,,,,1,1,2,,,,,1,1,,,,1,1,5,3,8,,,,18,10,28,
Ft/Pt:  TAMU Status,Less Than Half Time,1,1,2,,,,,,,,1,1,2,1,3,,,,,,5,3,8,,,,8,6,14,
Half-Time,,26,38,64,,,,3,2,5,1,2,3,8,8,16,,,2,3,5,3,6,9,1,,1,44,59,103,
Full-Time,,629,653,"1,282",3,4,7,29,44,73,16,17,33,137,149,286,1,1,11,27,38,20,59,79,,3,3,846,956,"1,802",
"Top 10% Texas High
School",No,588,636,"1,224",2,4,6,27,39,66,17,16,33,132,146,278,,,12,27,39,28,68,96,1,3,4,807,939,"1,746",
Yes,,68,56,124,1,,1,5,7,12,,4,4,15,12,27,1,1,1,3,4,,,,,,,91,82,173,
First Generation,No,453,478,931,3,3,6,20,20,40,11,11,22,76,86,162,1,1,8,19,27,1,3,4,,1,1,573,621,"1,194",
Unknown,,8,16,24,,1,1,1,2,3,1,,1,1,2,3,,,,,,26,64,90,1,1,2,38,86,124,
Yes,,195,198,393,,,,11,24,35,5,9,14,70,70,140,,,5,11,16,1,1,2,,1,1,287,314,601,
"Dorm / Off-campus
students",Off-campus,641,655,"1,296",3,4,7,28,36,64,15,16,31,139,143,282,1,1,13,26,39,24,55,79,1,3,4,865,938,"1,803",
Dorm (On-campus),,15,37,52,,,,4,10,14,2,4,6,8,15,23,,,,4,4,4,13,17,,,,33,83,116,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
