Fall 2012,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,163,52,215,,,,6,3,9,3,1,4,25,18,43,,,1,4,5,,1,1,,,,198,79,277,
TAMU Age Categories,18-21,140,42,182,,,,4,2,6,2,,2,21,11,32,,,1,1,2,,1,1,,,,168,57,225,
22-25,,19,6,25,,,,2,1,3,1,1,2,4,4,8,,,,3,3,,,,,,,26,15,41,
26-30,,,3,3,,,,,,,,,,,2,2,,,,,,,,,,,,,5,5,
31-39,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
40+,,2,,2,,,,,,,,,,,1,1,,,,,,,,,,,,2,1,3,
Classification,Freshman,5,5,10,,,,,,,,,,2,1,3,,,,,,,,,,,,7,6,13,
Sophomore,,83,22,105,,,,4,1,5,2,,2,13,5,18,,,1,2,3,,1,1,,,,103,31,134,
Junior,,64,23,87,,,,1,2,3,1,,1,10,9,19,,,,1,1,,,,,,,76,35,111,
Senior,,11,2,13,,,,1,,1,,1,1,,3,3,,,,1,1,,,,,,,12,7,19,
U5 G6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,157,50,207,,,,6,3,9,3,1,4,25,17,42,,,1,4,5,,1,1,,,,192,76,268,
Non-Resident Tuition,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Tuition Exemption/Waiver,,5,2,7,,,,,,,,,,,1,1,,,,,,,,,,,,5,3,8,
Residency Status,Texas Resident,162,51,213,,,,6,3,9,3,1,4,25,18,43,,,1,4,5,,1,1,,,,197,78,275,
"Non-TX, US Resident",,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,1,1,,,,,,,,,,1,,1,,,,1,1,,,,,,,1,2,3,
9-11 SCH,,8,4,12,,,,,1,1,,,,1,1,2,,,,,,,,,,,,9,6,15,
12-14 SCH,,58,23,81,,,,4,1,5,1,,1,8,9,17,,,1,1,2,,1,1,,,,72,35,107,
15-17 SCH,,93,24,117,,,,2,1,3,2,1,3,15,8,23,,,,2,2,,,,,,,112,36,148,
>17 SCH,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,4,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,,8,5,13,,,,,1,1,,,,2,1,3,,,,1,1,,,,,,,10,8,18,
Full-Time,,155,47,202,,,,6,2,8,3,1,4,23,17,40,,,1,3,4,,1,1,,,,188,71,259,
"Top 10% Texas High
School",No,151,46,197,,,,6,2,8,3,1,4,24,17,41,,,1,4,5,,1,1,,,,185,71,256,
Yes,,12,6,18,,,,,1,1,,,,1,1,2,,,,,,,,,,,,13,8,21,
First Generation,No,120,39,159,,,,4,3,7,1,1,2,15,8,23,,,,3,3,,1,1,,,,140,55,195,
Unknown,,2,2,4,,,,,,,1,,1,,,,,,,,,,,,,,,3,2,5,
Yes,,41,11,52,,,,2,,2,1,,1,10,10,20,,,1,1,2,,,,,,,55,22,77,
"Dorm / Off-campus
students",Off-campus,161,50,211,,,,6,3,9,3,1,4,25,16,41,,,1,4,5,,1,1,,,,196,75,271,
Dorm (On-campus),,2,2,4,,,,,,,,,,,2,2,,,,,,,,,,,,2,4,6,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
