Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,45,62,107,,,,1,3,4,4,1,5,15,16,31,,,,1,2,3,2,3,5,1,,1,69,87,
"TAMU Age           <18
Categories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,45,61,106,,,,1,3,4,4,1,5,15,16,31,,,,1,2,3,2,3,5,1,,1,69,86,
22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Classification      Freshman,44,57,101,,,,1,3,4,4,1,5,14,15,29,,,,1,2,3,2,3,5,1,,1,67,81,
Sophomore,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
Junior,,1,1,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,2,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,42,59,101,,,,1,3,4,4,1,5,15,16,31,,,,1,1,2,,,,1,,1,64,80,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,2,3,
Tuition Exemption/Waiver,3,3,6,,,,,,,,,,,,,,,,,1,1,,,,,,,3,4,
Residency            Texas Resident Status,44,60,104,,,,1,3,4,4,1,5,15,16,31,,,,1,1,2,,,,1,,1,66,81,
"Non-TX, US Resident",1,2,3,,,,,,,,,,,,,,,,,1,1,,,,,,,1,3,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,2,3,5,,,,2,3,
SCH Categories  < 6 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
12-14 SCH,10,22,32,,,,,,,1,,1,4,4,8,,,,,1,1,,,,,,,15,27,
15-17 SCH,34,40,74,,,,1,3,4,3,1,4,11,12,23,,,,1,1,2,2,3,5,1,,1,53,60,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU     Less Than Half Time Status,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Half-Time,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,
Full-Time,44,62,106,,,,1,3,4,4,1,5,15,16,31,,,,1,2,3,1,3,4,1,,1,67,87,
Top 10% Texas   No High School,15,37,52,,,,,3,3,,,,1,5,6,,,,1,2,3,2,3,5,,,,19,50,
Yes,30,25,55,,,,1,,1,4,1,5,14,11,25,,,,,,,,,,1,,1,50,37,
"First                      No
Generation",34,53,87,,,,,3,3,3,1,4,7,8,15,,,,1,2,3,,,,1,,1,46,67,
Unknown,1,1,2,,,,,,,,,,1,,1,,,,,,,2,3,5,,,,4,4,
Yes,10,8,18,,,,1,,1,1,,1,7,8,15,,,,,,,,,,,,,19,16,
Dorm / Off-         Off-campus campus,17,33,50,,,,1,2,3,,1,1,5,5,10,,,,,,,,1,1,1,,1,24,42,
students               Dorm (On-campus),28,29,57,,,,,1,1,4,,4,10,11,21,,,,1,2,3,2,2,4,,,,45,45,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
