Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"12,882",8.0%,"3,111",14.7%,"2,494",-1.7%,135,-9.4%,"18,622",7.5%,
Gender,Female,"6,240",6.9%,"1,338",14.8%,"1,031",1.4%,105,-0.9%,"8,714",7.2%,
,Male,"6,642",9.2%,"1,773",14.7%,"1,463",-3.8%,30,-30.2%,"9,908",7.8%,
Ethnicity,White,"9,672",4.6%,"1,682",12.4%,909,-3.9%,116,-13.4%,"12,379",4.7%,
,Black,598,33.5%,91,-1.1%,136,40.2%,1,100.0%,826,29.7%,
,Hispanic,"1,665",23.8%,196,4.8%,178,-3.8%,9,50.0%,"2,048",18.9%,
,Asian,542,17.8%,76,2.7%,55,-12.7%,7,0.0%,680,12.6%,
,American Indian,74,25.4%,6,-57.1%,12,9.1%,1,100.0%,93,10.7%,
,International,239,6.2%,"1,041",25.4%,"1,174",-2.5%,,,"2,454",8.6%,
,Unknown/Other,92,-34.8%,19,0.0%,30,-6.3%,1,-50.0%,142,-26.8%,
TAMU Age,<18,5,-16.7%,,,,,,,5,-16.7%,
Categories,18-21,"6,983",12.0%,21,16.7%,,,,,"7,004",12.0%,
,22-25,"5,390",3.6%,"1,792",16.3%,152,-13.6%,65,14.0%,"7,399",6.0%,
,26-30,355,10.6%,856,14.7%,"1,075",1.5%,61,-15.3%,"2,347",6.8%,
,31-39,102,-5.6%,307,3.7%,927,-1.1%,7,-61.1%,"1,343",-1.2%,
,40+,47,-7.8%,135,21.6%,340,-7.1%,2,0.0%,524,-1.1%,
Enrollment,1st Time in College,432,19.3%,,,,,,,432,19.3%,
Status,1st Time PB,6,-40.0%,66,-10.8%,,,,,72,-14.3%,
,1st Time Graduate,,,342,11.4%,63,23.5%,,,405,13.1%,
,1st Time Transfer,168,2.4%,,,,,,,168,2.4%,
,Readmitted,133,41.5%,2,-50.0%,4,0.0%,,,139,36.3%,
,Continuing,"12,143",7.5%,"2,701",16.1%,"2,427",-2.3%,135,-9.4%,"17,406",7.1%,
Tuition,Resident Tuition,"12,137",8.5%,"1,652",11.8%,882,-0.8%,124,-8.8%,"14,795",8.1%,
Status,Non-Resident  Tuition,371,6.0%,390,21.9%,218,-1.4%,1,0.0%,980,9.9%,
,Tuition Exemption/Waiver,374,-3.9%,"1,069",16.8%,"1,394",-2.4%,10,-16.7%,"2,847",3.8%,
Residency,Texas Resident,"12,214",8.6%,"1,692",11.5%,926,-1.0%,125,-10.1%,"14,957",8.1%,
Status,"Non-TX, US Resident",425,-4.5%,373,3.6%,388,-1.8%,10,0.0%,"1,196",-1.2%,
,"Non-TX, Non-US Resident",243,6.6%,"1,046",25.3%,"1,180",-2.3%,,,"2,469",8.7%,
SCH,< 6 SCH,"4,313",5.3%,"1,207",10.8%,692,-5.5%,14,7.7%,"6,226",5.0%,
Categories,6-8 SCH,"5,305",17.3%,"1,419",14.2%,"1,694",-1.4%,119,38.4%,"8,537",12.8%,
,9-11 SCH,"1,868",-4.6%,296,20.3%,87,22.5%,1,-98.0%,"2,252",-3.1%,
,12-14 SCH,"1,254",2.0%,180,40.6%,19,26.7%,1,100.0%,"1,454",5.9%,
,15-17 SCH,121,22.2%,8,33.3%,2,0.0%,,,131,22.4%,
,>17 SCH,21,23.5%,1,100.0%,,,,,22,29.4%,
Ft/Pt:,Less Than Half Time,892,-7.5%,348,9.8%,377,-6.9%,1,0.0%,"1,618",-4.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","4,328
28","9.5%
-34.9%","361
11","-6.5%
1000.0%","88
2","-21.4%
-50.0%",1,-50.0%,"4,778
41","7.3%
-14.6%",
,Full-Time,"7,634",9.6%,"2,391",19.1%,"2,027",0.5%,133,-8.9%,"12,185",9.4%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
